"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.521296116000000e-02, 4.913112014000000e-03, -1.386267187000000e-02, 1.198226632698886e+00, 3.242867904272365e+01, -4.987614530016949e+00, -1.508598683793178e+00, 2.479036398399259e+05
1, -2.521296116000000e-02, 5.038867655000000e-03, -1.381745830000000e-02, 1.196842730124543e+00, 3.263854505592138e+01, -4.633143125758616e-01, 6.704603452975524e-02, 2.476234501234337e+05
2, -2.521296116000000e-02, 5.225741463000000e-03, -1.374787137000000e-02, 1.197058419820517e+00, 2.680382277236281e+01, -1.775735245815139e+00, -5.133688734950461e-01, 2.476515471062381e+05
3, -2.521296116000000e-02, 5.494725896000000e-03, -1.364259244000000e-02, 1.197541002813966e+00, 2.362343386449075e+01, -1.495759175795245e+00, -4.647158388895381e-01, 2.477431932877052e+05
4, -2.521296116000000e-02, 5.864541816000000e-03, -1.348775335000000e-02, 1.198109625258594e+00, 2.059566136354492e+01, -1.225321688138124e+00, -4.131005046928435e-01, 2.478787251645294e+05
5, -2.521296116000000e-02, 6.341911768000000e-03, -1.326998478000000e-02, 1.198753183935905e+00, 1.852621974337016e+01, -8.804910700649065e-01, -3.039829072065343e-01, 2.480420869990432e+05
6, -2.521296116000000e-02, 6.909906270000000e-03, -1.298327911000000e-02, 1.199205166762307e+00, 1.677159328716576e+01, -5.744798324126854e-01, -1.837858450505359e-01, 2.481554769464449e+05
7, -2.521296116000000e-02, 7.523181064000000e-03, -1.263780391000000e-02, 1.199556880067519e+00, 1.585959884231788e+01, -3.497253475217299e-01, -7.256771358047301e-02, 2.482368329137998e+05
8, -2.521296116000000e-02, 8.119224162000000e-03, -1.226338208000000e-02, 1.199786804733914e+00, 1.585144501015215e+01, -3.394011808114205e-01, -7.134515189495272e-02, 2.482649649446410e+05
9, -2.521296116000000e-02, 8.642019872999999e-03, -1.190074929000000e-02, 1.200181799640674e+00, 1.749246425620812e+01, -3.198428416447195e-01, -4.713553287071349e-02, 2.483104187146253e+05
10, -2.521296116000000e-02, 9.061014648000000e-03, -1.158491927000000e-02, 1.200348677164111e+00, 2.095804833205732e+01, -2.490582402183681e-01, 3.836873702689954e-02, 2.483111444083725e+05
11, -2.521296116000000e-02, 9.373419342000000e-03, -1.133363803000000e-02, 1.200715632961474e+00, 2.607415472354204e+01, 1.336914675121955e-01, 4.102354439935762e-01, 2.484057436232574e+05
12, -2.521296116000000e-02, 9.594191102999999e-03, -1.114736911000000e-02, 1.200783926788759e+00, 3.046175513063168e+01, 7.231994867068047e-01, 9.802418141102326e-01, 2.484874581133605e+05
13, -2.521296116000000e-02, 9.744445175000000e-03, -1.101626658000000e-02, 1.200660261133313e+00, 3.244973123486096e+01, 1.045829423931372e+00, 1.307819215439330e+00, 2.485200215879517e+05
14, -2.521296116000000e-02, 9.844138484000000e-03, -1.092727224000000e-02, 1.200369968684858e+00, 3.237887948020899e+01, 9.288749940457914e-01, 1.196024334333808e+00, 2.484704190274036e+05
15, -2.521296116000000e-02, 9.943019060999999e-03, -1.083737574000000e-02, 1.200140912430745e+00, 3.125287700041419e+01, 5.482787767226347e-01, 8.196672936190010e-01, 2.484048910204336e+05
16, -2.521296116000000e-02, 1.008903818000000e-02, -1.070157229000000e-02, 1.199768408600802e+00, 2.948370999923875e+01, 1.049391292541354e-01, 3.803609860639848e-01, 2.482993045766232e+05
17, -2.521296116000000e-02, 1.029725889000000e-02, -1.050137136000000e-02, 1.199418914781333e+00, 2.697307464906035e+01, -3.019836934649005e-01, -5.522857708212173e-02, 2.481921214719861e+05
18, -2.521296116000000e-02, 1.057966990000000e-02, -1.021679626000000e-02, 1.199161127275695e+00, 2.413302752033752e+01, -5.082591907524928e-01, -3.178070263827973e-01, 2.481108373566204e+05
19, -2.521296116000000e-02, 1.093736580000000e-02, -9.832922775000001e-03, 1.198933815351638e+00, 2.116241107928552e+01, -4.891550936332107e-01, -3.520471905215049e-01, 2.480384345145778e+05
20, -2.521296116000000e-02, 1.135240679000000e-02, -9.350679182999999e-03, 1.198655754840009e+00, 1.863898594386599e+01, -2.548023762898843e-01, -1.110527260307097e-01, 2.479594294031709e+05
21, -2.521296116000000e-02, 1.178679118000000e-02, -8.796811618000000e-03, 1.198267085324176e+00, 1.683378199669204e+01, 2.859331278954134e-02, 2.580563588698576e-01, 2.478496304182155e+05
22, -2.521296116000000e-02, 1.219417817000000e-02, -8.222795133000000e-03, 1.197839448410623e+00, 1.641425184553547e+01, 8.356103335756311e-02, 3.743442053857567e-01, 2.477208108295262e+05
23, -2.521296116000000e-02, 1.253840486000000e-02, -7.687700859000000e-03, 1.197860951723936e+00, 1.658091125669549e+01, -5.524819444695313e-02, 1.888724877374285e-01, 2.476670196723224e+05
24, -2.521296116000000e-02, 1.280464265000000e-02, -7.235569617000000e-03, 1.198289799448132e+00, 2.046823963865738e+01, -3.659434536242390e-01, -2.878414357114055e-01, 2.477120526007263e+05
25, -2.521296116000000e-02, 1.299710578000000e-02, -6.883863914000000e-03, 1.199275382526811e+00, 2.569182858232293e+01, -9.056428238585602e-01, -1.262215159660667e+00, 2.479542359838427e+05
26, -2.521296116000000e-02, 1.312979026000000e-02, -6.627288181000000e-03, 1.199385895174080e+00, 3.120889914332432e+01, -1.710084365022493e+00, -2.874942210180428e+00, 2.480414505548499e+05
27, -2.521296116000000e-02, 1.321843616000000e-02, -6.448665489000000e-03, 1.200775230185170e+00, 3.092007058686623e+01, -1.663087891213885e+00, -2.909943469827573e+00, 2.484169554582566e+05
28, -2.521296116000000e-02, 1.327648411000000e-02, -6.328294462000000e-03, 1.198226632698886e+00, 3.242867904272365e+01, -2.460035696720284e+00, -4.593516415518796e+00, 2.479036398399259e+05
29, -2.521296116000000e-02, 5.068382427000000e-03, -1.411117372000000e-02, 1.197553542878091e+00, 2.757430596192025e+01, 9.163613574724151e-01, 2.841208444620660e+00, 2.477322049592703e+05
30, -2.521296116000000e-02, 5.196389585000000e-03, -1.406453908000000e-02, 1.197441820754124e+00, 2.526723118165582e+01, -4.806370565172106e-01, 2.926728680684324e+00, 2.477013587643134e+05
31, -2.521296116000000e-02, 5.386598833000000e-03, -1.399279376000000e-02, 1.197675497299497e+00, 2.315625977860570e+01, -1.028288926028734e+00, 1.759057048620167e+00, 2.477574082182852e+05
32, -2.521296116000000e-02, 5.660362235000000e-03, -1.388430854000000e-02, 1.198052917374133e+00, 2.159828827402075e+01, -1.240749712805497e+00, 9.664170312467942e-01, 2.478426740276163e+05
33, -2.521296116000000e-02, 6.036705093000000e-03, -1.372486488000000e-02, 1.198412145846750e+00, 1.983568863246106e+01, -1.170359225731259e+00, 6.108941102832335e-01, 2.479383356577424e+05
34, -2.521296116000000e-02, 6.522423146000000e-03, -1.350080444000000e-02, 1.198953299403718e+00, 1.790095563415262e+01, -1.193202899376276e+00, 5.267755677927912e-01, 2.480796357536690e+05
35, -2.521296116000000e-02, 7.100231723000000e-03, -1.320607564000000e-02, 1.199289926961655e+00, 1.571606790195698e+01, -9.720128795616299e-01, 7.172994011526530e-01, 2.481689899299662e+05
36, -2.521296116000000e-02, 7.723948305000000e-03, -1.285123912000000e-02, 1.199578852212870e+00, 1.447307374354922e+01, -7.943954022066402e-01, 9.923845750085586e-01, 2.482305282661761e+05
37, -2.521296116000000e-02, 8.329973338999999e-03, -1.246696709000000e-02, 1.199781170717149e+00, 1.415139809445380e+01, -8.469414678001864e-01, 1.051189419919186e+00, 2.482555502181367e+05
38, -2.521296116000000e-02, 8.861376928000000e-03, -1.209502886000000e-02, 1.200112468138539e+00, 1.592316575960106e+01, -1.028876715790376e+00, 9.027743986944853e-01, 2.482855553584351e+05
