"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.129171348669309e+00, 1.344136423055960e+02, -2.180683933606110e-01, -6.661301361822900e+00, 2.357991846798552e+05
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.122023082922288e+00, 1.404880593167262e+02, 1.840096121587953e-02, -2.807444115376417e-01, 2.345414083875568e+05
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.126071165307877e+00, 1.365355483259848e+02, 1.610344840871113e-01, -1.223178343457785e+00, 2.352311347689237e+05
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.126874193544216e+00, 1.359670634379791e+02, 1.349456439866943e-01, -6.784175755618078e-01, 2.353757383992377e+05
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.128134019702448e+00, 1.347125289368655e+02, 1.695138609203378e-01, -6.326343393349003e-01, 2.355907566366789e+05
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.129029006294030e+00, 1.338746866733915e+02, 1.793102216517756e-01, -5.282308781464836e-01, 2.357455938182860e+05
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.129901581736540e+00, 1.330208451280402e+02, 2.072855938090273e-01, -5.004316938570983e-01, 2.358955448308508e+05
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.130751992035842e+00, 1.321786015368933e+02, 2.407930659330722e-01, -4.882800363481712e-01, 2.360415715993452e+05
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.131596483555022e+00, 1.313324924457379e+02, 3.063490548822866e-01, -5.306121276781396e-01, 2.361864751642932e+05
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.132694625645099e+00, 1.301407195005568e+02, 3.367687758797604e-01, -5.040100873950761e-01, 2.363722584833232e+05
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.133257954093478e+00, 1.295499569607781e+02, 6.180417647169896e-01, -8.054477100986798e-01, 2.364684188529723e+05
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.136643522063287e+00, 1.262346393426741e+02, -8.980483555119169e-02, 1.024027885255250e-01, 2.370559268710371e+05
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 1.129171348669309e+00, 1.344136423055960e+02, 4.556053724764412e+00, -4.864449004179900e+00, 2.357991846798552e+05
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 1.129539702440597e+00, 1.333708400560186e+02, -1.026862513245256e-01, 3.091335359828319e-01, 2.358330496967501e+05
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 1.128948859785840e+00, 1.336271464478558e+02, -8.115825283452972e-01, 2.171991888149225e-02, 2.357202483676048e+05
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 1.129231959443676e+00, 1.333986931896226e+02, -3.658205954195057e-01, -1.079443865598665e-01, 2.357704328511217e+05
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 1.129272229221199e+00, 1.334420594233349e+02, -2.719353667811710e-01, -1.123341532654546e-01, 2.357801185574960e+05
17, -2.500000000000000e-02, 1.639659090000000e-02, 4.393453291000000e-03, 1.129470630405301e+00, 1.333204345796055e+02, -1.382496268843424e-01, -1.213690400180697e-01, 2.358166493613093e+05
18, -2.500000000000000e-02, 1.607413895000000e-02, 5.456434924000000e-03, 1.129623585925414e+00, 1.332507246410171e+02, -5.000709222374007e-02, -9.904103919943053e-02, 2.358456395140376e+05
19, -2.500000000000000e-02, 1.568285506000000e-02, 6.496051264000000e-03, 1.129791724521725e+00, 1.331581501876136e+02, 3.207246584257364e-02, -7.192144114149449e-02, 2.358769767557270e+05
20, -2.500000000000000e-02, 1.522441479000000e-02, 7.507850516000000e-03, 1.129951720800435e+00, 1.330711015539871e+02, 1.051076422195941e-01, -2.703767466538944e-02, 2.359068404815451e+05
21, -2.500000000000000e-02, 1.470078123000000e-02, 8.487500000000000e-03, 1.130084276913529e+00, 1.330121860397728e+02, 1.771949763103261e-01, 2.581608048748106e-02, 2.359320223103240e+05
22, -2.500000000000000e-02, 1.411419667000000e-02, 9.430804706000001e-03, 1.130240575240877e+00, 1.329130801787493e+02, 2.488929799639258e-01, 1.299102167564966e-01, 2.359607371976913e+05
23, -2.500000000000000e-02, 1.346717295000000e-02, 1.033372526000000e-02, 1.130209207374042e+00, 1.329999156458820e+02, 2.946845983952622e-01, 1.950563137789851e-01, 2.359572039085765e+05
24, -2.500000000000000e-02, 1.276248073000000e-02, 1.119239521000000e-02, 1.130420520949525e+00, 1.327473467105959e+02, 4.295366105688624e-01, 5.877298204347158e-01, 2.359921655998561e+05
25, -2.500000000000000e-02, 1.200313761000000e-02, 1.200313761000000e-02, 1.129539702440597e+00, 1.333708400560186e+02, -2.912005642318342e-01, 1.459802749394379e-01, 2.358330496967501e+05
26, -2.500000000000000e-02, 1.925000000000000e-02, 0.000000000000000e+00, 1.129713652404744e+00, 1.332153956480515e+02, -4.563051728106503e-02, 2.372590589572821e-01, 2.358624447630586e+05
27, -2.500000000000000e-02, 1.920878427000000e-02, 1.259010238000000e-03, 1.129224086856511e+00, 1.337180563030041e+02, -1.324846809558241e-01, 7.239224081035038e-02, 2.357786313096524e+05
28, -2.500000000000000e-02, 1.908531358000000e-02, 2.512629200000000e-03, 1.129379392468631e+00, 1.334713464301301e+02, -7.876878912232992e-02, -4.223359019749720e-02, 2.358020967852231e+05
29, -2.500000000000000e-02, 1.888011665000000e-02, 3.755488699000000e-03, 1.129388307152232e+00, 1.335084036667702e+02, -6.444208289835403e-02, -5.609198141623911e-02, 2.358051552479286e+05
30, -2.500000000000000e-02, 1.859407216000000e-02, 4.982266618000000e-03, 1.129555741899227e+00, 1.333439451644733e+02, -3.321001755295810e-02, -8.284502366589579e-02, 2.358339121526890e+05
31, -2.500000000000000e-02, 1.822840499000000e-02, 6.187709707000000e-03, 1.129697991861939e+00, 1.332273016002642e+02, -1.196163462502595e-02, -8.053983780719418e-02, 2.358591356099201e+05
32, -2.500000000000000e-02, 1.778468100000000e-02, 7.366656073000000e-03, 1.129859760667763e+00, 1.330841710359234e+02, 9.584867053895180e-03, -7.620643516557112e-02, 2.358874732671599e+05
33, -2.500000000000000e-02, 1.726480027000000e-02, 8.514057287000000e-03, 1.130011910850790e+00, 1.329502048281817e+02, 2.545946296995527e-02, -5.973334647162951e-02, 2.359141547924636e+05
34, -2.500000000000000e-02, 1.667098902000000e-02, 9.625000000000000e-03, 1.130131597587014e+00, 1.328516120748975e+02, 3.834732572845972e-02, -4.229195933757284e-02, 2.359353708603876e+05
