"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.131190207442992e+00, 1.319958050922415e+02, -1.770126945734650e-01, -5.407179303936180e+00, 2.361304605358715e+05
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.121698884675453e+00, 1.409312368565885e+02, -5.042215942212946e-02, 7.692934792567687e-01, 2.344890061978610e+05
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.126651284137730e+00, 1.354078397783176e+02, 6.643042100412497e-02, -5.045891430004456e-01, 2.353064410461646e+05
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.126452098212620e+00, 1.362168345385534e+02, 1.045678762666264e-02, -5.256982219118900e-02, 2.352936515958317e+05
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.128149730538807e+00, 1.343880906202229e+02, 1.785782706159111e-02, -6.664631767415075e-02, 2.355790339336763e+05
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.128739154737987e+00, 1.341598567471353e+02, 9.662299111026874e-03, -2.846421524282745e-02, 2.356917599544721e+05
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.129586966714228e+00, 1.333779540955469e+02, 7.598718237048904e-03, -1.834492869805932e-02, 2.358396414471666e+05
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.130396703402481e+00, 1.325372116370384e+02, 7.804534284157083e-03, -1.582602999483061e-02, 2.359766049722425e+05
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.131083772186525e+00, 1.323268639808801e+02, 2.718388763252330e-02, -4.708387450648538e-02, 2.361117009254805e+05
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.132797676411672e+00, 1.299630972207476e+02, 6.296886128476746e-02, -9.423956005541340e-02, 2.363836956443917e+05
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.133569715701316e+00, 1.307741074948856e+02, 3.088732377894057e-01, -4.025314409005472e-01, 2.365694639571428e+05
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.137944408757375e+00, 1.243734920615973e+02, -1.506776275761274e-01, 1.718149043701646e-01, 2.372613600650697e+05
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 1.131190207442992e+00, 1.319958050922415e+02, 3.698286276215828e+00, -3.948620029593829e+00, 2.361304605358715e+05
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 1.128456595617324e+00, 1.340882722472105e+02, -2.871170012517359e-01, 3.176745175277679e-01, 2.356329718837123e+05
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 1.128509682492897e+00, 1.339887213619505e+02, -9.515075448760638e-02, -5.293916865437619e-02, 2.356399238031108e+05
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 1.128759002715521e+00, 1.338356539456827e+02, -9.781989571551990e-02, -6.531444808838345e-02, 2.356848975115490e+05
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 1.128757894206939e+00, 1.339529767855755e+02, -1.592076388141778e-02, -2.592717755570080e-02, 2.356881554784367e+05
17, -2.500000000000000e-02, 1.639659090000000e-02, 4.393453291000000e-03, 1.129115003845726e+00, 1.336580389033002e+02, -2.861488984525280e-02, -3.636575235252770e-02, 2.357508055205448e+05
18, -2.500000000000000e-02, 1.607413895000000e-02, 5.456434924000000e-03, 1.129289260675814e+00, 1.335946489863314e+02, -9.094031452897439e-04, -1.604717532526760e-02, 2.357853091280472e+05
19, -2.500000000000000e-02, 1.568285506000000e-02, 6.496051264000000e-03, 1.129561323929709e+00, 1.333913534576378e+02, 1.645802432039793e-02, -2.338476953205934e-02, 2.358334577800644e+05
20, -2.500000000000000e-02, 1.522441479000000e-02, 7.507850516000000e-03, 1.129840745689381e+00, 1.331317909693424e+02, 1.354330757842007e-02, -1.069211139665406e-02, 2.358826052754014e+05
21, -2.500000000000000e-02, 1.470078123000000e-02, 8.487500000000000e-03, 1.129943543126837e+00, 1.331573477877100e+02, 2.561649682597622e-02, -9.880888176589582e-03, 2.359056663596005e+05
22, -2.500000000000000e-02, 1.411419667000000e-02, 9.430804706000001e-03, 1.130331488161375e+00, 1.328475153964806e+02, 2.439212695517185e-02, -3.916885278028381e-03, 2.359746949658032e+05
