"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 9.508619846021460e+01, 1.243431243392306e+03, 1.370829523043355e+03, -4.187450795185193e+04, 2.347011871789517e+07
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 2.039963579309963e+00, -4.696846393887517e+02, 1.785765967606297e+01, -2.724552320056052e+02, 4.669247754435099e+05
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.602057656749690e+00, -1.529331647709706e+02, 4.555641861225465e+01, -3.460353536566540e+02, 3.750130743809559e+05
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.622546329922408e+00, 1.476298354258721e+02, 8.086535474382993e+01, -4.065375975949379e+02, 3.771344124140515e+05
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.837436390263090e+00, 1.079918315193892e+02, 1.629064310235915e+02, -6.079750753388073e+02, 4.504157928290591e+05
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.954044078741898e+00, 8.017725782560913e+01, 2.396879103563039e+02, -7.060978130654591e+02, 4.900739946272069e+05
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 2.032324160504477e+00, 1.141827267726944e+01, 3.232114491153945e+02, -7.803014670848556e+02, 5.197499880560496e+05
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 2.094749692197993e+00, -6.965293405831945e+01, 3.960658815904784e+02, -8.031421598864764e+02, 5.389415742822445e+05
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 2.138352235583849e+00, -1.507788569949748e+02, 4.433840816529918e+02, -7.679637563592570e+02, 5.432709901633023e+05
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 2.272728755230878e+00, -2.216070518778034e+02, 4.942386362598580e+02, -7.396803863559131e+02, 5.648749539881116e+05
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 2.522341837434112e+00, -2.688067814873937e+02, 5.428219902323833e+02, -7.074193913482482e+02, 6.009819682947348e+05
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 3.215148062508459e+00, -3.167310273683050e+02, 5.021905516063237e+02, -5.726385727453143e+02, 7.036433676181015e+05
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 3.464049873622328e+00, -1.845056031379945e+01, -4.416946532365003e+01, -1.349237497809243e+03, 7.906709513424130e+05
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 7.453334662561049e+01, 3.809106370436093e+03, 8.490776736108959e+03, -3.860795409132960e+04, 1.846679364489181e+07
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 1.332367737425529e+00, -1.974439180178121e+02, 2.087938789941670e+02, -2.487643517204249e+02, 3.268001773800848e+05
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 1.364463710092247e+00, -9.026705142826421e+01, 2.021389271821464e+02, -2.563762595403529e+02, 3.122945862197505e+05
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 1.461250969436950e+00, 1.246899386593963e+02, 1.817121635610581e+02, -2.605937302843474e+02, 3.295373694336992e+05
17, -2.500000000000000e-02, 1.639659090000000e-02, 4.393453291000000e-03, 1.657425670239528e+00, 1.108651066944192e+02, 2.787416324989955e+02, -3.586951321162489e+02, 3.870474517978611e+05
18, -2.500000000000000e-02, 1.607413895000000e-02, 5.456434924000000e-03, 1.709256574767496e+00, 8.984157360194187e+01, 3.309838438416357e+02, -3.913280514227037e+02, 4.012467579116737e+05
19, -2.500000000000000e-02, 1.568285506000000e-02, 6.496051264000000e-03, 1.697379310816876e+00, 3.933477378809872e+01, 3.561764062561469e+02, -3.886009380756519e+02, 3.973393496397480e+05
20, -2.500000000000000e-02, 1.522441479000000e-02, 7.507850516000000e-03, 1.592949741009116e+00, -1.639645554258663e+01, 3.360704864095270e+02, -3.432696238126508e+02, 3.668749856710447e+05
