"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.128187899858127e+00, 1.339556558978650e+02, -1.420692181935317e-01, -4.339766355139147e+00, 2.355737627141201e+05
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.120895174069849e+00, 1.413049793011689e+02, 8.364043482803903e-03, -1.276106415369070e-01, 2.343370615852597e+05
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.125117346436867e+00, 1.365731467145373e+02, 6.713907793967701e-02, -5.099719268273474e-01, 2.350321728324777e+05
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.125940416019234e+00, 1.368244456789381e+02, 2.020218359127305e-02, -1.015632369312150e-01, 2.352102729762423e+05
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.127629348305302e+00, 1.348513880049551e+02, 2.174311325279085e-02, -8.114640309105750e-02, 2.354876203262261e+05
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.128326848130533e+00, 1.344550782878788e+02, 9.885775996528776e-03, -2.912255691675083e-02, 2.356173096371244e+05
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.129235168108666e+00, 1.336591648956125e+02, 8.996870656344778e-03, -2.172036724446208e-02, 2.357758263471917e+05
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.130060329178962e+00, 1.328922462938664e+02, 1.135610055860999e-02, -2.302789398067017e-02, 2.359198285695408e+05
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.130733941674679e+00, 1.325865741922072e+02, 3.175967634246993e-02, -5.500937303339364e-02, 2.360468327815759e+05
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.132349150890773e+00, 1.305598787081152e+02, 5.969021751811918e-02, -8.933272293237764e-02, 2.363116081500123e+05
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.132999830152669e+00, 1.311021753134457e+02, 2.857828876704959e-01, -3.724395107262548e-01, 2.364610883649826e+05
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.136429016004543e+00, 1.259697839019038e+02, -1.524657682442019e-01, 1.738538880124411e-01, 2.369985859417153e+05
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 1.128187899858127e+00, 1.339556558978650e+02, 2.968220110901600e+00, -3.169136326066635e+00, 2.355737627141201e+05
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 1.129224692032960e+00, 1.337159297837231e+02, -7.274608641342115e-02, 4.286909608126881e-01, 2.357766845888834e+05
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 1.128559638448399e+00, 1.339361145428527e+02, -1.168730033846794e-01, 2.324349311494758e-03, 2.356494342294071e+05
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 1.128729573160732e+00, 1.337919036035473e+02, -1.214069047826049e-01, -6.869314906705627e-02, 2.356774879678606e+05
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 1.128699482535285e+00, 1.339464670831420e+02, -2.447004113032722e-02, -2.968874767603924e-02, 2.356763739898194e+05
17, -2.500000000000000e-02, 1.639659090000000e-02, 4.393453291000000e-03, 1.129036348588057e+00, 1.337091006185364e+02, -2.516593077932188e-02, -3.718912571476980e-02, 2.357374516752988e+05
18, -2.500000000000000e-02, 1.607413895000000e-02, 5.456434924000000e-03, 1.129184425954386e+00, 1.336799003282865e+02, -6.921230983842736e-04, -1.230169566280498e-02, 2.357654188808996e+05
19, -2.500000000000000e-02, 1.568285506000000e-02, 6.496051264000000e-03, 1.129435880195426e+00, 1.334947587470597e+02, 1.744875458371017e-02, -2.157881353025372e-02, 2.358111491107764e+05
20, -2.500000000000000e-02, 1.522441479000000e-02, 7.507850516000000e-03, 1.129700029637433e+00, 1.332830662805911e+02, 1.617803734824726e-02, -1.495174160908775e-02, 2.358587262792702e+05
21, -2.500000000000000e-02, 1.470078123000000e-02, 8.487500000000000e-03, 1.129814800473219e+00, 1.332191373394579e+02, 3.547962304197449e-02, -1.057675473773635e-02, 2.358815396944392e+05
22, -2.500000000000000e-02, 1.411419667000000e-02, 9.430804706000001e-03, 1.130191110049463e+00, 1.330526826029472e+02, 2.641272079655945e-02, 3.306380844802689e-03, 2.359528424335838e+05
23, -2.500000000000000e-02, 1.346717295000000e-02, 1.033372526000000e-02, 1.130032564407297e+00, 1.332748441064370e+02, 7.944969288058119e-02, -1.020771238760283e-03, 2.359285825529828e+05
24, -2.500000000000000e-02, 1.276248073000000e-02, 1.119239521000000e-02, 1.130062656207470e+00, 1.331592919023866e+02, 3.268547764930374e-02, 1.103811976269390e-01, 2.359298051918563e+05
25, -2.500000000000000e-02, 1.200313761000000e-02, 1.200313761000000e-02, 1.129224692032960e+00, 1.337159297837231e+02, -3.545695364317409e-01, 2.516910344163156e-01, 2.357766845888834e+05
26, -2.500000000000000e-02, 1.925000000000000e-02, 0.000000000000000e+00, 1.129449502794733e+00, 1.334647206289461e+02, -8.712412861019304e-02, 1.791094159441323e-01, 2.358130829028702e+05
