"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.127919109038693e+00, 1.345989516718577e+02, -1.176169602077781e-01, -3.592827026105962e+00, 2.355220444655923e+05
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.117497561988196e+00, 1.410803044473172e+02, -5.362359223739942e-02, 8.181379043526851e-01, 2.336023907494665e+05
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.124163982366936e+00, 1.376753352513737e+02, 4.949820649097947e-02, -3.759762051153278e-01, 2.348642867393531e+05
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.124015225538604e+00, 1.374096173277539e+02, 3.012922423589620e-03, -1.514698411588009e-02, 2.348256344393038e+05
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.126383476618020e+00, 1.357943748937830e+02, 4.524682320362072e-02, -1.688634424879046e-01, 2.352561540417379e+05
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.127117275183764e+00, 1.352392342156957e+02, 1.243135275425367e-02, -3.662158420996611e-02, 2.353888197912480e+05
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.128392976804406e+00, 1.343288894399055e+02, 4.535217068489226e-02, -1.094898259880575e-01, 2.356204733189224e+05
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.129575564083726e+00, 1.334784201104683e+02, 1.747382237467828e-02, -3.543340665247161e-02, 2.358358217396694e+05
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.130317481635935e+00, 1.329156466442362e+02, 9.151387425925797e-02, -1.585066797462005e-01, 2.359701924599493e+05
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.132503470504581e+00, 1.313926535053396e+02, 1.788129547842075e-02, -2.676124968317705e-02, 2.363702802846260e+05
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.132223172142099e+00, 1.311732371254865e+02, 2.440980235962933e-01, -3.181147381444054e-01, 2.363038550937860e+05
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.138412065776670e+00, 1.277224654485826e+02, -5.570682965255411e-01, 6.352146475549597e-01, 2.374744097362292e+05
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 1.127919109038693e+00, 1.345989516718577e+02, 2.457344603644354e+00, -2.623680103935291e+00, 2.355220444655923e+05
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 1.128257918492058e+00, 1.343426676955308e+02, -1.766367733823847e-03, 5.081216086955924e-01, 2.355885891774090e+05
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 1.126826681079115e+00, 1.356813107091487e+02, -2.853567157698221e-01, 3.868329221722507e-01, 2.353488307575840e+05
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 1.128054191715121e+00, 1.344680609338179e+02, -6.583658696146300e-02, 5.739418623484212e-02, 2.355593033603530e+05
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 1.127576765330653e+00, 1.348803386000921e+02, -6.144700405999253e-02, 6.517557601978986e-02, 2.354760199585842e+05
17, -2.500000000000000e-02, 1.639659090000000e-02, 4.393453291000000e-03, 1.128183175848731e+00, 1.343714978376416e+02, -2.727298747738172e-02, 4.372501794270333e-02, 2.355820652221224e+05
18, -2.500000000000000e-02, 1.607413895000000e-02, 5.456434924000000e-03, 1.128109705593966e+00, 1.344603630010936e+02, -2.387810163164858e-02, 5.772523249122129e-02, 2.355706499440572e+05
19, -2.500000000000000e-02, 1.568285506000000e-02, 6.496051264000000e-03, 1.128358915156532e+00, 1.342557676991312e+02, -8.314241631948792e-03, 4.645251741384421e-02, 2.356146909931822e+05
20, -2.500000000000000e-02, 1.522441479000000e-02, 7.507850516000000e-03, 1.128543472772957e+00, 1.340999111907667e+02, -6.995610210526971e-03, 6.793942233262745e-02, 2.356475034551408e+05
21, -2.500000000000000e-02, 1.470078123000000e-02, 8.487500000000000e-03, 1.128479486215866e+00, 1.341755232516481e+02, 7.662277321682262e-03, 5.477018559071010e-02, 2.356373808373333e+05
22, -2.500000000000000e-02, 1.411419667000000e-02, 9.430804706000001e-03, 1.129016709683823e+00, 1.337305510965793e+02, 2.561656529713552e-02, 8.166492936787263e-02, 2.357332092886732e+05
23, -2.500000000000000e-02, 1.346717295000000e-02, 1.033372526000000e-02, 1.128510593019706e+00, 1.342018064761717e+02, 6.814842434608333e-02, 3.513710103718446e-02, 2.356452879097534e+05
24, -2.500000000000000e-02, 1.276248073000000e-02, 1.119239521000000e-02, 1.129806592565388e+00, 1.329100838206469e+02, 9.616968202537789e-03, 4.068954575711942e-01, 2.358653496775836e+05
25, -2.500000000000000e-02, 1.200313761000000e-02, 1.200313761000000e-02, 1.128257918492058e+00, 1.343426676955308e+02, -3.605452457787267e-01, 3.580472245734148e-01, 2.355885891774090e+05
26, -2.500000000000000e-02, 1.925000000000000e-02, 0.000000000000000e+00, 1.128517655222980e+00, 1.341332943186665e+02, 2.515915922788219e-02, 1.350610537569976e-01, 2.356359562620399e+05
27, -2.500000000000000e-02, 1.920878427000000e-02, 1.259010238000000e-03, 1.127826190185251e+00, 1.347289961282899e+02, 6.021640994836481e-02, 5.141058739724291e-02, 2.355221221400831e+05
28, -2.500000000000000e-02, 1.908531358000000e-02, 2.512629200000000e-03, 1.128090798571267e+00, 1.344565937897789e+02, 7.296195310380280e-02, 2.503386698236601e-02, 2.355667425732503e+05
29, -2.500000000000000e-02, 1.888011665000000e-02, 3.755488699000000e-03, 1.127857819910299e+00, 1.346774785094939e+02, 5.303925828413729e-02, 1.283295301317316e-02, 2.355273862153582e+05
30, -2.500000000000000e-02, 1.859407216000000e-02, 4.982266618000000e-03, 1.128243416868091e+00, 1.343465048305544e+02, 4.649469598797380e-02, 5.163126522603847e-03, 2.355940824611328e+05
31, -2.500000000000000e-02, 1.822840499000000e-02, 6.187709707000000e-03, 1.128306640195543e+00, 1.342978927422901e+02, 3.852965191168860e-02, 3.846377276034038e-03, 2.356056255637027e+05
32, -2.500000000000000e-02, 1.778468100000000e-02, 7.366656073000000e-03, 1.128582669768813e+00, 1.340646755243548e+02, 3.184008303906614e-02, -8.606073262597024e-04, 2.356541362481823e+05
33, -2.500000000000000e-02, 1.726480027000000e-02, 8.514057287000000e-03, 1.128800112965145e+00, 1.338756185529101e+02, 2.055462594668421e-02, 2.606431801508102e-03, 2.356924363949054e+05
34, -2.500000000000000e-02, 1.667098902000000e-02, 9.625000000000000e-03, 1.128854975793858e+00, 1.338221743249195e+02, 9.893131294616900e-03, -2.879699613307391e-03, 2.357019614948325e+05
35, -2.500000000000000e-02, 1.600579004000000e-02, 1.069472699000000e-02, 1.129156485821349e+00, 1.335525583803757e+02, 7.490005952851514e-04, -7.560926447126269e-03, 2.357551244562614e+05
36, -2.500000000000000e-02, 1.527205180000000e-02, 1.171865751000000e-02, 1.128861405582800e+00, 1.338353441992383e+02, 7.191455080877882e-03, -4.890879147765065e-02, 2.357047960295649e+05
37, -2.500000000000000e-02, 1.447291629000000e-02, 1.269240694000000e-02, 1.129194302515678e+00, 1.335274561626973e+02, 4.015159755055692e-02, -6.056511965688072e-02, 2.357612910947849e+05
38, -2.500000000000000e-02, 1.361180554000000e-02, 1.361180554000000e-02, 1.128517655222980e+00, 1.341332943186665e+02, -7.771237488678621e-02, 1.132927990847614e-01, 2.356359562620399e+05
39, -2.500000000000000e-02, 2.152500000000000e-02, 0.000000000000000e+00, 1.128927018381868e+00, 1.338038066951463e+02, 2.921601922569094e-02, -2.585077740807147e-02, 2.357094095546005e+05
40, -2.500000000000000e-02, 2.147891332000000e-02, 1.407802357000000e-03, 1.128743470576824e+00, 1.339501594007313e+02, 4.201357732681297e-02, 2.636798784167406e-02, 2.356832069702052e+05
41, -2.500000000000000e-02, 2.134085064000000e-02, 2.809576288000000e-03, 1.128824235310011e+00, 1.338675471844059e+02, 3.849557165844242e-02, 2.381855273880300e-02, 2.356967570892328e+05
42, -2.500000000000000e-02, 2.111140316000000e-02, 4.199319181000000e-03, 1.128723458784385e+00, 1.339607468653893e+02, 3.809240702311961e-02, 4.212062424478664e-03, 2.356798989668872e+05
43, -2.500000000000000e-02, 2.079155341000000e-02, 5.571079946000000e-03, 1.128889516913482e+00, 1.338208096189593e+02, 4.132258900190213e-02, 1.648427166101101e-03, 2.357083578550974e+05
44, -2.500000000000000e-02, 2.038267104000000e-02, 6.918984491000000e-03, 1.128877141720070e+00, 1.338380442949339e+02, 4.183314192935308e-02, 3.707361351920362e-03, 2.357066513271554e+05
45, -2.500000000000000e-02, 1.988650694000000e-02, 8.237260882000001e-03, 1.128976422074943e+00, 1.337579604462582e+02, 4.177385096970287e-02, 4.868720175384059e-03, 2.357244361352217e+05
46, -2.500000000000000e-02, 1.930518576000000e-02, 9.520264057000001e-03, 1.129027838484343e+00, 1.337154078516169e+02, 3.981721873572851e-02, 8.149672563898995e-03, 2.357337877812204e+05
47, -2.500000000000000e-02, 1.864119682000000e-02, 1.076250000000000e-02, 1.129015240917282e+00, 1.337240030285554e+02, 3.609051264003012e-02, 6.771481083774646e-03, 2.357317650765307e+05
48, -2.500000000000000e-02, 1.789738340000000e-02, 1.195864927000000e-02, 1.129113956077989e+00, 1.336335207423689e+02, 3.152608488433369e-02, 8.254233368642542e-03, 2.357495722811726e+05
49, -2.500000000000000e-02, 1.707693065000000e-02, 1.310358976000000e-02, 1.128957310494107e+00, 1.337682136721273e+02, 3.300910903121478e-02, -6.058682560705568e-03, 2.357222694214708e+05
50, -2.500000000000000e-02, 1.618335186000000e-02, 1.419241867000000e-02, 1.129093952047026e+00, 1.336543089813758e+02, 6.040963248499664e-02, -4.404968454122950e-02, 2.357461173568678e+05
51, -2.500000000000000e-02, 1.522047347000000e-02, 1.522047347000000e-02, 1.128927018381868e+00, 1.338038066951463e+02, 3.893810531795395e-02, 2.379585309571266e-03, 2.357094095546005e+05
52, -2.500000000000000e-02, 2.380000000000000e-02, 0.000000000000000e+00, 1.129367056500604e+00, 1.334364477067752e+02, 3.516228267491894e-02, -1.756552953008059e-02, 2.357879177668713e+05
53, -2.500000000000000e-02, 2.374904237000000e-02, 1.556594476000000e-03, 1.129308762679507e+00, 1.334796347711891e+02, 4.047098118202387e-02, 3.121173621565702e-02, 2.357828833309545e+05
54, -2.500000000000000e-02, 2.359638770000000e-02, 3.106523375000000e-03, 1.129312898696015e+00, 1.334645677728996e+02, 4.482699765915613e-02, 1.604661104892487e-02, 2.357827285224335e+05
55, -2.500000000000000e-02, 2.334268967000000e-02, 4.643149664000000e-03, 1.129295053225346e+00, 1.334852819888409e+02, 4.875879854535598e-02, -1.016800811675382e-03, 2.357802180253199e+05
56, -2.500000000000000e-02, 2.298903467000000e-02, 6.159893273000000e-03, 1.129383058713300e+00, 1.334139016110524e+02, 5.191748840540840e-02, 8.964988551756945e-05, 2.357953029194307e+05
57, -2.500000000000000e-02, 2.253693708000000e-02, 7.650259274000000e-03, 1.129389130379781e+00, 1.334148476741159e+02, 5.134707116884344e-02, 2.983714635571340e-03, 2.357967420851255e+05
58, -2.500000000000000e-02, 2.198833287000000e-02, 9.107865690000000e-03, 1.129449182247767e+00, 1.333677229109488e+02, 5.026783594788057e-02, 5.417199645841247e-03, 2.358078471215035e+05
59, -2.500000000000000e-02, 2.134557125000000e-02, 1.052647083000000e-02, 1.129467961054030e+00, 1.333537102475572e+02, 4.893553860067183e-02, 7.841808965757792e-03, 2.358114171564306e+05
60, -2.500000000000000e-02, 2.061140461000000e-02, 1.190000000000000e-02, 1.129471348858427e+00, 1.333521477676869e+02, 4.579200340911783e-02, 7.129470506554306e-03, 2.358125032436149e+05
61, -2.500000000000000e-02, 1.978897677000000e-02, 1.322257155000000e-02, 1.129488592373733e+00, 1.333372373853994e+02, 4.256011362972575e-02, 9.293856152165207e-03, 2.358162453267011e+05
62, -2.500000000000000e-02, 1.888180950000000e-02, 1.448852201000000e-02, 1.129410877081585e+00, 1.334014344970505e+02, 3.995733862111338e-02, 3.168456871472750e-03, 2.358025240360600e+05
63, -2.500000000000000e-02, 1.789378742000000e-02, 1.569243040000000e-02, 1.129435770023087e+00, 1.333793269645163e+02, 5.031311739500584e-02, -1.137511363827857e-02, 2.358070389651212e+05
64, -2.500000000000000e-02, 1.682914139000000e-02, 1.682914139000000e-02, 1.129367056500604e+00, 1.334364477067752e+02, 3.728419356728597e-02, 1.244278347558089e-02, 2.357879177668713e+05
65, -2.500000000000000e-02, 2.607500000000000e-02, 0.000000000000000e+00, 1.129865581856974e+00, 1.330183234248528e+02, 4.181692564857732e-02, -1.991858139832406e-02, 2.358769187100971e+05
66, -2.500000000000000e-02, 2.601917142000000e-02, 1.705386595000000e-03, 1.129928388827943e+00, 1.329641692590910e+02, 4.259086549630075e-02, 1.632910678642294e-02, 2.358920347141414e+05
67, -2.500000000000000e-02, 2.585192476000000e-02, 3.403470462000000e-03, 1.129923669670542e+00, 1.329572419980642e+02, 4.778848674890218e-02, 7.567923293174350e-03, 2.358899880251808e+05
68, -2.500000000000000e-02, 2.557397619000000e-02, 5.086980147000000e-03, 1.129961613781121e+00, 1.329290578039685e+02, 4.992766530929968e-02, 8.744159680878377e-05, 2.358970355815215e+05
69, -2.500000000000000e-02, 2.518651592000000e-02, 6.748706601000000e-03, 1.129975985248420e+00, 1.329174127157998e+02, 5.240013621208950e-02, 5.170858101154547e-03, 2.358993024508764e+05
70, -2.500000000000000e-02, 2.469120313000000e-02, 8.381534058000000e-03, 1.129968512431298e+00, 1.329272005659583e+02, 5.126572413053508e-02, 8.182090090243940e-03, 2.358981034824182e+05
71, -2.500000000000000e-02, 2.409015881000000e-02, 9.978470499000001e-03, 1.129965100370949e+00, 1.329325600475148e+02, 5.037861564285155e-02, 1.163254296035925e-02, 2.358982415964693e+05
72, -2.500000000000000e-02, 2.338595674000000e-02, 1.153267760000000e-02, 1.129931097450756e+00, 1.329626623368285e+02, 5.065155056540755e-02, 1.363404416574865e-02, 2.358923992287081e+05
73, -2.500000000000000e-02, 2.258161240000000e-02, 1.303750000000000e-02, 1.129923747124820e+00, 1.329722815775904e+02, 4.902836573409499e-02, 1.426832470048652e-02, 2.358918923896689e+05
74, -2.500000000000000e-02, 2.168057014000000e-02, 1.448649383000000e-02, 1.129873651823671e+00, 1.330171819524597e+02, 4.963646652923978e-02, 1.643809052772879e-02, 2.358838210867836e+05
75, -2.500000000000000e-02, 2.068668835000000e-02, 1.587345426000000e-02, 1.129861246434950e+00, 1.330304208826544e+02, 4.770850285635630e-02, 9.971967323356683e-03, 2.358817220720602e+05
76, -2.500000000000000e-02, 1.960422298000000e-02, 1.719244213000000e-02, 1.129847956848991e+00, 1.330412683098028e+02, 5.217439506142833e-02, 3.288954606127797e-03, 2.358798912024068e+05
77, -2.500000000000000e-02, 1.843780932000000e-02, 1.843780932000000e-02, 1.129865581856974e+00, 1.330183234248528e+02, 4.365359567285386e-02, 1.548446771611153e-02, 2.358769187100971e+05
78, -2.500000000000000e-02, 2.835000000000000e-02, 0.000000000000000e+00, 1.130364961668084e+00, 1.325935195789723e+02, 4.880199988409693e-02, -2.345762079616489e-02, 2.359661276392612e+05
79, -2.500000000000000e-02, 2.828930047000000e-02, 1.854178714000000e-03, 1.130573278012560e+00, 1.324228801637914e+02, 4.819413294174177e-02, 4.854290812670075e-03, 2.360052358937030e+05
80, -2.500000000000000e-02, 2.810746182000000e-02, 3.700417549000000e-03, 1.130569435641947e+00, 1.324159783311949e+02, 5.474081496660874e-02, 5.834974577079047e-03, 2.360029720506319e+05
81, -2.500000000000000e-02, 2.780526270000000e-02, 5.530810629000000e-03, 1.130666694482511e+00, 1.323342733351314e+02, 5.351495971519230e-02, 5.556071306086052e-03, 2.360199908546886e+05
82, -2.500000000000000e-02, 2.738399718000000e-02, 7.337519929000000e-03, 1.130605147426660e+00, 1.323837944417871e+02, 5.447350778030628e-02, 1.245290074469639e-02, 2.360089629182632e+05
83, -2.500000000000000e-02, 2.684546917000000e-02, 9.112808841000001e-03, 1.130580671652476e+00, 1.324061315743990e+02, 5.062149037201775e-02, 1.364612833219216e-02, 2.360045213854855e+05
84, -2.500000000000000e-02, 2.619198475000000e-02, 1.084907531000000e-02, 1.130507073049352e+00, 1.324704750294768e+02, 4.754003701760017e-02, 1.695720216365069e-02, 2.359925775277864e+05
85, -2.500000000000000e-02, 2.542634222000000e-02, 1.253888437000000e-02, 1.130412321355166e+00, 1.325513381927985e+02, 4.670045179432763e-02, 1.734507889459289e-02, 2.359759797092405e+05
86, -2.500000000000000e-02, 2.455182020000000e-02, 1.417500000000000e-02, 1.130382451458608e+00, 1.325816239919709e+02, 4.331217120691855e-02, 1.876269646794122e-02, 2.359718976946394e+05
87, -2.500000000000000e-02, 2.357216351000000e-02, 1.575041611000000e-02, 1.130252097463162e+00, 1.326944796968502e+02, 4.616192092723284e-02, 2.132191332895285e-02, 2.359495994810592e+05
88, -2.500000000000000e-02, 2.249156720000000e-02, 1.725838651000000e-02, 1.130298121120802e+00, 1.326623351770278e+02, 4.432399678908007e-02, 1.557717981373501e-02, 2.359580044431628e+05
89, -2.500000000000000e-02, 2.131465854000000e-02, 1.869245386000000e-02, 1.130242170079440e+00, 1.327103613264581e+02, 4.864525059285216e-02, 1.561906893277253e-02, 2.359489812046962e+05
