"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy"
0, -2.500000000000000e-02, 1.470000000000000e-02, 0.000000000000000e+00, 1.139272650353840e+00, 1.242531698906257e+02, 1.493464203329269e-15, 1.487244765686972e-14, 2.375650222502685e+05
1, -2.500000000000000e-02, 1.466852617000000e-02, 9.614259997000000e-04, 1.138988711728938e+00, 1.245216355778234e+02, 1.786022378819123e-03, -2.724943527954394e-02, 2.375184207670222e+05
2, -2.500000000000000e-02, 1.457423946000000e-02, 1.918735026000000e-03, 1.138408278838857e+00, 1.249966707753142e+02, 7.181593633425253e-03, -5.454961931748627e-02, 2.374053366566508e+05
3, -2.500000000000000e-02, 1.441754362000000e-02, 2.867827734000000e-03, 1.137436539720237e+00, 1.257756565007608e+02, 1.759528351896374e-02, -8.845746504748814e-02, 2.372172724905860e+05
4, -2.500000000000000e-02, 1.419910965000000e-02, 3.804639963000000e-03, 1.136092411442798e+00, 1.267633405598416e+02, 2.265023966264306e-02, -8.453184492970564e-02, 2.369506875422683e+05
5, -2.500000000000000e-02, 1.391987290000000e-02, 4.725160140000000e-03, 1.134541687140727e+00, 1.278443806367818e+02, 4.007729992858464e-02, -1.180639181637262e-01, 2.366404534750349e+05
6, -2.500000000000000e-02, 1.358102913000000e-02, 5.625446456000000e-03, 1.132905666462931e+00, 1.290110285196885e+02, 5.693881043634515e-02, -1.374624489300512e-01, 2.363123519016478e+05
7, -2.500000000000000e-02, 1.318402930000000e-02, 6.501643746000000e-03, 1.131290904637340e+00, 1.301535651816478e+02, 6.773070271195575e-02, -1.373442788062433e-01, 2.359848915163285e+05
8, -2.500000000000000e-02, 1.273057344000000e-02, 7.350000000000000e-03, 1.129879003315005e+00, 1.312093360276705e+02, 7.197562303811535e-02, -1.246654359547167e-01, 2.356939672062609e+05
9, -2.500000000000000e-02, 1.222260330000000e-02, 8.166882425000001e-03, 1.128786383958198e+00, 1.320853523086200e+02, 6.736881694034007e-02, -1.008245590022691e-01, 2.354623238618583e+05
10, -2.500000000000000e-02, 1.166229410000000e-02, 8.948793005999999e-03, 1.127953447898383e+00, 1.326845167712230e+02, 4.900889579890907e-02, -6.386963656698483e-02, 2.352886736207597e+05
11, -2.500000000000000e-02, 1.105204517000000e-02, 9.692383482000000e-03, 1.127378231672287e+00, 1.330732599170337e+02, 9.530288493226971e-03, -1.086721122721736e-02, 2.351842156895076e+05
12, -2.500000000000000e-02, 1.039446968000000e-02, 1.039446968000000e-02, 1.126999476463534e+00, 1.331432612224852e+02, 2.205135561790330e-14, -1.085479613322976e-14, 2.351300497407797e+05
13, -2.500000000000000e-02, 1.697500000000000e-02, 0.000000000000000e+00, 1.139434768514661e+00, 1.241273349559650e+02, -2.021335226139306e-02, 0.000000000000000e+00, 2.376038044977908e+05
14, -2.500000000000000e-02, 1.693865522000000e-02, 1.110218119000000e-03, 1.139181408210355e+00, 1.243075051084300e+02, -3.385780154991138e-03, -2.509400232822152e-02, 2.375559570737971e+05
15, -2.500000000000000e-02, 1.682977652000000e-02, 2.215682113000000e-03, 1.138536542378500e+00, 1.248857087785967e+02, 3.464452951439663e-03, -6.589673129427830e-02, 2.374308820382525e+05
16, -2.500000000000000e-02, 1.664883013000000e-02, 3.311658216000000e-03, 1.137441463319347e+00, 1.257327546931944e+02, 2.805874961892021e-02, -6.468868195134403e-02, 2.372165194238327e+05
17, -2.500000000000000e-02, 1.639659090000000e-02, 4.393453291000000e-03, 1.136001487446497e+00, 1.268166385996891e+02, 4.713669803359016e-02, -9.762693103406245e-02, 2.369322491895860e+05
18, -2.500000000000000e-02, 1.607413895000000e-02, 5.456434924000000e-03, 1.134354865427338e+00, 1.280569593838559e+02, 6.597671677584574e-02, -1.087372916543220e-01, 2.366044490853596e+05
19, -2.500000000000000e-02, 1.568285506000000e-02, 6.496051264000000e-03, 1.132624105959822e+00, 1.293467422404771e+02, 7.610067204544309e-02, -1.447239084499920e-01, 2.362587365023197e+05
20, -2.500000000000000e-02, 1.522441479000000e-02, 7.507850516000000e-03, 1.130917262602042e+00, 1.305829854294244e+02, 8.333036422913784e-02, -1.306222505364344e-01, 2.359161765299721e+05
21, -2.500000000000000e-02, 1.470078123000000e-02, 8.487500000000000e-03, 1.129386947560077e+00, 1.316881371966023e+02, 8.637437304606453e-02, -1.071706568617596e-01, 2.356075371400648e+05
22, -2.500000000000000e-02, 1.411419667000000e-02, 9.430804706000001e-03, 1.128165055602819e+00, 1.325924322961112e+02, 8.199486951240095e-02, -8.457174431638877e-02, 2.353643467539928e+05
23, -2.500000000000000e-02, 1.346717295000000e-02, 1.033372526000000e-02, 1.127263001199700e+00, 1.332163728793242e+02, 6.876250753456213e-02, -4.840840937395709e-02, 2.351875722534191e+05
24, -2.500000000000000e-02, 1.276248073000000e-02, 1.119239521000000e-02, 1.126633552429703e+00, 1.335972030315541e+02, 4.329000808311555e-02, -7.387520222566748e-03, 2.350587791258155e+05
25, -2.500000000000000e-02, 1.200313761000000e-02, 1.200313761000000e-02, 1.126368544178941e+00, 1.337413510900937e+02, 3.256943478173305e-03, 3.256943478151593e-03, 2.350046740410269e+05
26, -2.500000000000000e-02, 1.925000000000000e-02, 0.000000000000000e+00, 1.139748076325805e+00, 1.238152301493200e+02, 1.556726859129940e-02, 0.000000000000000e+00, 2.376680779083399e+05
27, -2.500000000000000e-02, 1.920878427000000e-02, 1.259010238000000e-03, 1.139477013937818e+00, 1.240440803075748e+02, 2.212581443442444e-02, -2.540341578383306e-02, 2.376146540642164e+05
28, -2.500000000000000e-02, 1.908531358000000e-02, 2.512629200000000e-03, 1.138714179117311e+00, 1.247389217822410e+02, 3.083378018288321e-02, -6.914526250680118e-02, 2.374673648895258e+05
29, -2.500000000000000e-02, 1.888011665000000e-02, 3.755488699000000e-03, 1.137467635706175e+00, 1.257750758415965e+02, 4.515208384059405e-02, -1.035780514126141e-01, 2.372248819225286e+05
30, -2.500000000000000e-02, 1.859407216000000e-02, 4.982266618000000e-03, 1.135813774211198e+00, 1.270512080971156e+02, 5.992797489857588e-02, -9.915219863400393e-02, 2.368991574144317e+05
31, -2.500000000000000e-02, 1.822840499000000e-02, 6.187709707000000e-03, 1.133948935646582e+00, 1.284849514433053e+02, 6.811745326588618e-02, -1.092618220630742e-01, 2.365308040133637e+05
32, -2.500000000000000e-02, 1.778468100000000e-02, 7.366656073000000e-03, 1.132029419512624e+00, 1.299598912266486e+02, 7.531547675902213e-02, -9.716705930443845e-02, 2.361524724055778e+05
33, -2.500000000000000e-02, 1.726480027000000e-02, 8.514057287000000e-03, 1.130159508553429e+00, 1.313477867162579e+02, 7.318191230741265e-02, -9.600470620244972e-02, 2.357827549163275e+05
34, -2.500000000000000e-02, 1.667098902000000e-02, 9.625000000000000e-03, 1.128488475574620e+00, 1.325624906111679e+02, 6.600779182631834e-02, -1.006046326581298e-01, 2.354493421620815e+05
35, -2.500000000000000e-02, 1.600579004000000e-02, 1.069472699000000e-02, 1.127142129801155e+00, 1.335462130995188e+02, 6.015342023825312e-02, -7.908982814747594e-02, 2.351816715691591e+05
36, -2.500000000000000e-02, 1.527205180000000e-02, 1.171865751000000e-02, 1.126123356100481e+00, 1.342277194585087e+02, 4.298640474189559e-02, -5.569767055665074e-02, 2.349786136565154e+05
37, -2.500000000000000e-02, 1.447291629000000e-02, 1.269240694000000e-02, 1.125533362824731e+00, 1.346702646593536e+02, 1.945723441115662e-02, -2.862887501236633e-02, 2.348588475759346e+05
38, -2.500000000000000e-02, 1.361180554000000e-02, 1.361180554000000e-02, 1.125291547695984e+00, 1.348194949059671e+02, -1.286337254528130e-02, -1.286337254530539e-02, 2.348124536414247e+05
