"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.521296116000000e-02, 4.913112014000000e-03, -1.386267187000000e-02, 1.145115604262249e+00, 1.006218336889657e+02, -3.692129834975238e+00, 8.028294007099998e-01, 2.374128802677137e+05, 0.000000000000000e+00, -1.052479306158547e+02, -3.730124157929695e+01
1, -2.521296116000000e-02, 5.038867655000000e-03, -1.381745830000000e-02, 1.147499076104809e+00, 9.680571098384546e+01, -4.749570083210031e+00, 1.039651503593236e+00, 2.375883766699942e+05, 0.000000000000000e+00, -1.049046609545023e+02, -3.825600131844674e+01
2, -2.521296116000000e-02, 5.225741463000000e-03, -1.374787137000000e-02, 1.149233376311119e+00, 9.730497100387258e+01, -3.971474401302292e+00, 1.381192283573262e+00, 2.380065483023723e+05, 0.000000000000000e+00, -1.043763443032036e+02, -3.967478131719056e+01
3, -2.521296116000000e-02, 5.494725896000000e-03, -1.364259244000000e-02, 1.150189949543791e+00, 9.795115399984060e+01, -2.526356062524181e+00, 2.012926293583879e+00, 2.382937865585003e+05, 0.000000000000000e+00, -1.035770474848226e+02, -4.171696014149025e+01
4, -2.521296116000000e-02, 5.864541816000000e-03, -1.348775335000000e-02, 1.151010351348580e+00, 9.840218401919293e+01, -1.461132083484040e+00, 2.500305799072877e+00, 2.385150107904025e+05, 0.000000000000000e+00, -1.024014809018604e+02, -4.452466998659088e+01
5, -2.521296116000000e-02, 6.341911768000000e-03, -1.326998478000000e-02, 1.150766374331554e+00, 9.903906947610440e+01, -1.118862819690054e+00, 2.621266977148576e+00, 2.385144805008377e+05, 0.000000000000000e+00, -1.007481422409869e+02, -4.814894963898013e+01
6, -2.521296116000000e-02, 6.909906270000000e-03, -1.298327911000000e-02, 1.150985908720015e+00, 1.024047261178664e+02, -9.490339825768173e-01, 2.581201468610691e+00, 2.388054314382141e+05, 0.000000000000000e+00, -9.857142055657386e+01, -5.246126738676239e+01
7, -2.521296116000000e-02, 7.523181064000000e-03, -1.263780391000000e-02, 1.150795920223201e+00, 1.060694703862275e+02, -9.525589639468903e-01, 2.369752167065289e+00, 2.389671737944639e+05, 0.000000000000000e+00, -9.594850989259241e+01, -5.711736136147786e+01
8, -2.521296116000000e-02, 8.119224162000000e-03, -1.226338208000000e-02, 1.150580718701507e+00, 1.092676108872433e+02, -9.409825879928178e-01, 2.163413765266728e+00, 2.390297981795158e+05, 0.000000000000000e+00, -9.310583113957497e+01, -6.164262916054631e+01
9, -2.521296116000000e-02, 8.642019872999999e-03, -1.190074929000000e-02, 1.150033843656130e+00, 1.111141815917972e+02, -9.489044511689253e-01, 2.021420992515798e+00, 2.389101522279185e+05, 0.000000000000000e+00, -9.035265692620064e+01, -6.561178945183686e+01
10, -2.521296116000000e-02, 9.061014648000000e-03, -1.158491927000000e-02, 1.149207434621734e+00, 1.110729790672200e+02, -1.001636956758008e+00, 1.948223696329409e+00, 2.386406113428024e+05, 0.000000000000000e+00, -8.795481787013100e+01, -6.879287412448487e+01
11, -2.521296116000000e-02, 9.373419342000000e-03, -1.133363803000000e-02, 1.148538160083137e+00, 1.097236668255269e+02, -1.104175000718462e+00, 1.912362276815168e+00, 2.383439725290990e+05, 0.000000000000000e+00, -8.604704491260908e+01, -7.116470748146811e+01
12, -2.521296116000000e-02, 9.594191102999999e-03, -1.114736911000000e-02, 1.148344469915256e+00, 1.075264165319549e+02, -1.370501823380695e+00, 1.763511607233297e+00, 2.381037172019639e+05, 0.000000000000000e+00, -8.463285733377184e+01, -7.284084691559497e+01
