"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Turb_Kin_Energy","Omega","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.521296116000000e-02, 4.913112014000000e-03, -1.386267187000000e-02, 7.984630755943271e-01, 0.000000000000000e+00, -8.403845348892594e+01, -2.978432581736200e+01, 2.244006477859837e+05, 1.000000000000000e-10, 2.607465356950541e+05, 0.000000000000000e+00, -1.052479306158547e+02, -3.730124157929695e+01
1, -2.521296116000000e-02, 5.038867655000000e-03, -1.381745830000000e-02, 9.041702592582874e-01, 0.000000000000000e+00, -9.467951963934819e+01, -3.452715823297609e+01, 2.300685418349740e+05, 1.000000000000000e-10, 2.215435346704634e+05, 0.000000000000000e+00, -1.049046609545023e+02, -3.825600131844674e+01
2, -2.521296116000000e-02, 5.225741463000000e-03, -1.374787137000000e-02, 1.046964937501505e+00, 0.000000000000000e+00, -1.094979184132715e+02, -4.162155703704581e+01, 2.336283117337030e+05, 1.000000000000000e-10, 1.725710606092153e+05, 0.000000000000000e+00, -1.043763443032036e+02, -3.967478131719056e+01
3, -2.521296116000000e-02, 5.494725896000000e-03, -1.364259244000000e-02, 1.121212426581956e+00, 0.000000000000000e+00, -1.158095551736758e+02, -4.664375664784112e+01, 2.338772898784387e+05, 1.000000000000000e-10, 1.524953018192727e+05, 0.000000000000000e+00, -1.035770474848226e+02, -4.171696014149025e+01
4, -2.521296116000000e-02, 5.864541816000000e-03, -1.348775335000000e-02, 1.213451997251563e+00, 0.000000000000000e+00, -1.246032962501268e+02, -5.417812902623287e+01, 2.356885856280033e+05, 1.000000000000000e-10, 1.326864814413394e+05, 0.000000000000000e+00, -1.024014809018604e+02, -4.452466998659088e+01
5, -2.521296116000000e-02, 6.341911768000000e-03, -1.326998478000000e-02, 1.282954819330903e+00, 0.000000000000000e+00, -1.289549626017125e+02, -6.162938454144938e+01, 2.353147875594249e+05, 1.000000000000000e-10, 1.195212650443111e+05, 0.000000000000000e+00, -1.007481422409869e+02, -4.814894963898013e+01
6, -2.521296116000000e-02, 6.909906270000000e-03, -1.298327911000000e-02, 1.262607391308542e+00, 0.000000000000000e+00, -1.246104762283135e+02, -6.631966421599245e+01, 2.347006209400438e+05, 1.000000000000000e-10, 1.226761335950675e+05, 0.000000000000000e+00, -9.857142055657386e+01, -5.246126738676239e+01
7, -2.521296116000000e-02, 7.523181064000000e-03, -1.263780391000000e-02, 1.202772405186092e+00, 0.000000000000000e+00, -1.153158169996101e+02, -6.864656051077756e+01, 2.333790675692467e+05, 1.000000000000000e-10, 1.334537170928988e+05, 0.000000000000000e+00, -9.594850989259241e+01, -5.711736136147786e+01
8, -2.521296116000000e-02, 8.119224162000000e-03, -1.226338208000000e-02, 1.171903406958259e+00, 0.000000000000000e+00, -1.091871519349501e+02, -7.228959812122335e+01, 2.324700877587539e+05, 1.000000000000000e-10, 1.395909106150004e+05, 0.000000000000000e+00, -9.310583113957497e+01, -6.164262916054631e+01
9, -2.521296116000000e-02, 8.642019872999999e-03, -1.190074929000000e-02, 1.161829409406982e+00, 0.000000000000000e+00, -1.048613255425425e+02, -7.614761366406158e+01, 2.315612678597079e+05, 1.000000000000000e-10, 1.415732412065854e+05, 0.000000000000000e+00, -9.035265692620064e+01, -6.561178945183686e+01
10, -2.521296116000000e-02, 9.061014648000000e-03, -1.158491927000000e-02, 1.196144611780458e+00, 0.000000000000000e+00, -1.053070330374896e+02, -8.236471456137420e+01, 2.311283971012210e+05, 1.000000000000000e-10, 1.342784425224071e+05, 0.000000000000000e+00, -8.795481787013100e+01, -6.879287412448487e+01
11, -2.521296116000000e-02, 9.373419342000000e-03, -1.133363803000000e-02, 1.252544461463309e+00, 0.000000000000000e+00, -1.076919590700474e+02, -8.906600770671110e+01, 2.299845292532694e+05, 1.000000000000000e-10, 1.231175303041024e+05, 0.000000000000000e+00, -8.604704491260908e+01, -7.116470748146811e+01
12, -2.521296116000000e-02, 9.594191102999999e-03, -1.114736911000000e-02, 1.308206932181422e+00, 0.000000000000000e+00, -1.107343512816300e+02, -9.530558442795576e+01, 2.284512394501411e+05, 1.000000000000000e-10, 1.131335774896675e+05, 0.000000000000000e+00, -8.463285733377184e+01, -7.284084691559497e+01
13, -2.521296116000000e-02, 9.744445175000000e-03, -1.101626658000000e-02, 1.256259776245877e+00, 0.000000000000000e+00, -1.050388713943243e+02, -9.291219635190316e+01, 2.261949008380245e+05, 1.000000000000000e-10, 1.210214818874676e+05, 0.000000000000000e+00, -8.363750303913088e+01, -7.398160320651088e+01
14, -2.521296116000000e-02, 9.844138484000000e-03, -1.092727224000000e-02, 1.129388419700016e+00, 0.000000000000000e+00, -9.368844250041823e+01, -8.440185089818794e+01, 2.246186231433092e+05, 1.000000000000000e-10, 1.461932253512540e+05, 0.000000000000000e+00, -8.296184179508214e+01, -7.473849297255978e+01
15, -2.521296116000000e-02, 9.943019060999999e-03, -1.083737574000000e-02, 1.074054562779422e+00, 0.000000000000000e+00, -8.835318591491385e+01, -8.106182093600319e+01, 2.243996620238085e+05, 1.000000000000000e-10, 1.598375019769807e+05, 0.000000000000000e+00, -8.227933118793983e+01, -7.548921232918491e+01
16, -2.521296116000000e-02, 1.008903818000000e-02, -1.070157229000000e-02, 1.093477251219741e+00, 0.000000000000000e+00, -8.886198421378673e+01, -8.377572259369859e+01, 2.247211492325413e+05, 1.000000000000000e-10, 1.547193818220004e+05, 0.000000000000000e+00, -8.124828665215124e+01, -7.659781608531641e+01
