"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,       -4.94439147,      -3.540791038,      -3.669708475,      -3.665858923,      0.5212744894,      -2.941757625,      0.8713074218,   0.0001069117318,   0.0001069117318,      0.4283340518,       582.6906314,        213786.093,        213786.093,       2.553274784,       591637.3207,      -7.245126705,       99.57961745,         93.57152713,       -0.02082610968,                1.774498017,        588.806339,        588.806339,       222207.6469,       222207.6469,       20623.70612,        0.03273701702,        -0.03263010529,       96581.19345,        117204.8996,           288.3115952,            300.4947437,            97849.56246,             124358.0844
          0,           0,           1,      -5.059445351,      -3.010462085,      -2.866088184,       -3.19581325,       0.402091926,      -2.997781646,      0.9043889557,   0.0005573805493,   0.0005573805493,       0.429269023,       582.8285715,       214008.6226,       214008.6226,       2.555411875,       591786.3046,      -6.679530376,       99.83217527,         93.55223487,       -0.02083353542,                1.777377077,        588.955143,        588.955143,       222442.8038,       222442.8038,       20380.98035,        0.03308970907,        -0.03253232852,       96813.82113,        117194.8015,           288.4661522,            300.4889907,            98107.29669,             124335.5071
          0,           0,           2,      -5.142769822,      -3.003625707,      -2.842628743,      -3.171325914,      0.3241498929,      -3.018999898,      0.8889390786,   0.0009259337539,   0.0009259337539,      0.4299302777,       582.9304461,       214187.0766,       214187.0766,       2.557160341,       591894.8133,       -6.21644107,       99.99070349,         93.55819888,       -0.02083813564,                1.781018419,       589.0637109,       589.0637109,       222628.6359,       222628.6359,       20181.95197,         0.0333628589,        -0.03243692515,       97002.56232,        117184.5143,           288.5802028,            300.4835081,            98315.48079,             124313.1551
          0,           0,           3,      -5.195967259,      -2.998836082,      -2.848807111,      -3.169730549,      0.2745792287,      -3.039487722,      0.8742002581,    0.001224031355,    0.001224031355,      0.4303477303,       583.0022255,       214328.3488,       214328.3488,       2.558577995,       591969.1757,      -5.838701481,       100.0640645,         93.56420853,       -0.02083950188,                1.784998248,       589.1383034,       589.1383034,       222772.4509,       222772.4509,       20026.29775,        0.03356604738,        -0.03234201602,       97151.02552,        117177.3233,           288.6579091,            300.4803943,            98478.33372,             124294.1171
          0,           0,           4,      -5.228199345,      -2.997766354,      -2.854260558,      -3.168640357,      0.2441316832,      -3.059408581,      0.8585706628,    0.001458964407,    0.001458964407,      0.4305566197,       583.0485094,       214437.6728,       214437.6728,       2.559710555,       592014.6137,       -5.53803695,       100.0657414,         93.56979936,       -0.02083874446,                1.789178241,       589.1841144,       589.1841144,        222880.229,        222880.229,        19907.6691,        0.03370805671,         -0.0322490923,       97265.00187,         117172.671,           288.7047281,            300.4793864,             98602.2217,             124278.0073
          0,           0,           5,      -5.242054314,      -2.995144392,      -2.858173798,      -3.167951817,      0.2297556029,      -3.078854716,      0.8430334999,    0.001641558007,    0.001641558007,      0.4305946812,       583.0763123,        214523.538,        214523.538,       2.560632399,        592038.789,      -5.301728943,       100.0093609,         93.57520018,       -0.02083768932,                1.793497128,        589.208767,        589.208767,       222961.2627,       222961.2627,       19817.95151,        0.03380005881,        -0.03215850081,       97352.79325,        117170.7448,           288.7281421,            300.4806249,            98696.22031,             124265.0424
          0,           0,           6,      -5.246342187,      -2.991402423,      -2.860172602,      -3.166894763,      0.2241558545,      -3.097914508,      0.8280818617,      0.0017889792,      0.0017889792,      0.4305281516,       583.0925543,       214594.1306,       214594.1306,       2.561414966,       592049.7791,      -5.108829688,       99.91845121,         93.58051469,       -0.02083867826,                1.797836097,       589.2202983,       589.2202983,       223025.1397,       223025.1397,       19747.69809,        0.03385991615,        -0.03207093695,       97423.21627,        117170.9144,           288.7365202,             300.483778,            98770.47215,             124254.6675
          0,           0,           7,       -5.24806045,      -2.987315253,      -2.858977646,      -3.163374426,      0.2214856105,      -3.116574389,      0.8134199973,    0.001910766053,    0.001910766053,      0.4303922617,       583.1010619,       214654.1949,       214654.1949,       2.562100028,       592052.0132,      -4.947422231,       99.80544709,         93.58534205,       -0.02084168794,                1.802134339,       589.2231148,       589.2231148,       223077.3482,       223077.3482,        19692.4956,        0.03389738299,        -0.03198661694,       97480.84963,        117173.3452,           288.7341816,            300.4889332,            98830.28294,             124247.0653
          0,           0,           8,      -5.251105478,      -2.982306017,      -2.855671554,      -3.157956533,      0.2179689817,      -3.134840541,      0.7989687068,    0.002010593198,    0.002010593198,      0.4301965367,       583.1034074,       214705.6003,       214705.6003,       2.562703574,       592047.1931,      -4.812533887,       99.67340991,         93.58953749,       -0.02084641213,                1.806402571,       589.2189088,       589.2189088,       223119.9129,       223119.9129,       19651.23668,         0.0339156412,          -0.031905048,       97527.18183,        117178.4185,            288.722648,            300.4962609,            98877.37906,             124242.5338
          0,           0,           9,      -5.257349691,      -2.976931911,      -2.850678345,      -3.152969777,      0.2118232721,      -3.152708824,      0.7845233214,    0.002091326096,    0.002091326096,      0.4299556553,       583.1007078,       214749.3563,       214749.3563,       2.563234053,       592036.7068,      -4.701285826,       99.52825394,         93.59320546,       -0.02085233916,                1.810578054,       589.2090605,       589.2090605,       223154.1471,       223154.1471,       19620.78345,         0.0339182966,        -0.03182697051,       97564.28641,        117185.0699,           288.7040199,            300.5050406,            98914.10276,             124240.0444
          0,           0,          10,      -5.267028199,      -2.969783696,      -2.843347784,      -3.147335412,      0.2024301906,      -3.170197211,      0.7700511837,    0.002155639831,    0.002155639831,      0.4296834189,       583.0941282,       214786.6607,       214786.6607,       2.563702012,       592021.9932,      -4.611221027,       99.37539588,         93.59649996,       -0.02085901754,                 1.81460128,       589.1950007,       589.1950007,       223181.5608,       223181.5608,       19597.75294,        0.03390871955,        -0.03175307972,        97594.4539,        117192.2068,           288.6804425,            300.5145582,            98942.99138,             124238.5694
          0,           0,          11,      -5.281686936,      -2.961062069,      -2.833096213,      -3.141411434,      0.1884357441,      -3.187307842,      0.7555034645,    0.002205223989,    0.002205223989,      0.4293905247,       583.0844473,       214818.3152,       214818.3152,       2.564114838,       592004.0454,      -4.541178028,       99.21938345,         93.59977205,       -0.02086607053,                1.818412686,       589.1777168,       589.1777168,       223203.1957,       223203.1957,       19579.04213,        0.03388942636,        -0.03168420237,       97619.63653,        117198.6787,           288.6537112,            300.5240056,            98966.18013,             124237.0155
          0,           0,          12,      -5.303165734,      -2.951651764,      -2.820820751,       -3.13586196,      0.1678797675,      -3.204025746,      0.7408867714,    0.002243253815,    0.002243253815,      0.4290853336,       583.0726224,       214845.5794,       214845.5794,       2.564484081,       591983.9387,      -4.487218504,       99.06290869,          93.6028756,       -0.02087352789,                1.822014798,       589.1582785,       589.1582785,       223220.4415,       223220.4415,       19562.83852,        0.03386317092,         -0.0316199171,       97641.37045,         117204.209,           288.6251812,            300.5330973,            98985.41119,             124235.0303
          0,           0,          13,      -5.331471229,      -2.942968058,      -2.807909514,      -3.130900295,      0.1409206548,      -3.220326887,      0.7261750682,    0.002271989579,    0.002271989579,      0.4287711259,       583.0595736,       214869.5138,       214869.5138,       2.564818886,       591962.6215,      -4.446433212,       98.90665338,         93.60579172,        -0.0208817869,                1.825433985,       589.1376289,       589.1376289,        223234.378,        223234.378,       19547.84836,        0.03383151535,        -0.03155952577,       97660.83272,        117208.6811,           288.5959475,            300.5416814,             99001.9771,             124232.4009
          0,           0,          14,      -5.364116516,      -2.936962177,      -2.796659162,      -3.127455141,      0.1097002112,      -3.236207184,      0.7114595255,    0.002293816269,    0.002293816269,      0.4284499863,       583.0461502,       214891.0836,       214891.0836,       2.565127338,       591940.9367,      -4.415448461,       98.75062097,         93.60864287,       -0.02089103036,                1.828719093,       589.1166068,       589.1166068,       223245.9502,       223245.9502,       19533.42289,        0.03379585178,        -0.03150203551,       97678.83035,        117212.2532,           288.5668409,            300.5497659,            99016.78972,             124229.1605
          0,           0,          15,      -5.396272366,      -2.935336683,       -2.78949561,      -3.126417919,     0.07891312865,      -3.251680763,      0.6968145385,    0.002310451136,    0.002310451136,       0.428125892,        583.032314,       214910.1642,       214910.1642,       2.565408316,       591918.8933,      -4.391935498,       98.59578908,         93.61138636,       -0.02090170032,                1.831884008,       589.0952204,       589.0952204,       223255.0692,       223255.0692,       19519.05073,        0.03375741278,        -0.03144696164,       97695.55671,        117214.6074,           288.5381383,             300.557082,            99030.13899,             124224.9302
          0,           0,          16,      -5.423088406,      -2.939814427,      -2.788190961,      -3.128315691,     0.05358359146,       -3.26675618,       0.682198623,    0.002323429602,    0.002323429602,      0.4278001208,       583.0181953,       214927.1218,       214927.1218,       2.565665666,       591896.6129,      -4.373689954,       98.44201583,          93.6139872,       -0.02091450617,                1.834961604,       589.0735906,       589.0735906,       223262.0837,       223262.0837,       19504.58571,        0.03371702382,        -0.03139359422,       97711.26806,        117215.8538,           288.5099889,            300.5636017,            99042.34354,             124219.7402
          0,           0,          17,      -5.437686277,      -2.950193795,      -2.793547968,      -3.133371405,      0.0395363634,      -3.281447477,      0.6676977205,    0.002334685635,    0.002334685635,      0.4274732261,       583.0041034,       214942.5583,       214942.5583,       2.565905423,        591874.374,      -4.358093198,       98.28872425,         93.61647275,       -0.02093013132,                1.838000429,       589.0519943,       589.0519943,       223267.5425,       223267.5425,       19489.32265,        0.03367561303,        -0.03134092739,       97726.61781,        117215.9405,           288.4827627,            300.5692316,            99054.12246,               124213.42
