"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Turb_Kin_Energy","Omega","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.521296116000000e-02, 4.913112014000000e-03, -1.386267187000000e-02, 1.181411575175914e+00, 0.000000000000000e+00, -3.275323574523296e+01, -1.160817464516330e+01, 2.487367035296038e+05, 1.000000000000000e-10, 1.441588143846671e+05, 0.000000000000000e+00, -2.772534374000000e+01, -9.826224028000000e+00
1, -2.521296116000000e-02, 5.038867655000000e-03, -1.381745830000000e-02, 1.178695975444022e+00, 0.000000000000000e+00, -3.257193346162558e+01, -1.187813694944152e+01, 2.497258802958586e+05, 1.000000000000000e-10, 1.505014898992263e+05, 0.000000000000000e+00, -2.763491660000000e+01, -1.007773531000000e+01
2, -2.521296116000000e-02, 5.225741463000000e-03, -1.374787137000000e-02, 1.190348845092783e+00, 0.000000000000000e+00, -3.272823482664402e+01, -1.244041998513362e+01, 2.508336875705456e+05, 1.000000000000000e-10, 1.482128650462656e+05, 0.000000000000000e+00, -2.749574274000000e+01, -1.045148292600000e+01
3, -2.521296116000000e-02, 5.494725896000000e-03, -1.364259244000000e-02, 1.200570897638066e+00, 0.000000000000000e+00, -3.275612085986301e+01, -1.319294014922541e+01, 2.518498616698985e+05, 1.000000000000000e-10, 1.462048224841006e+05, 0.000000000000000e+00, -2.728518488000000e+01, -1.098945179200000e+01
4, -2.521296116000000e-02, 5.864541816000000e-03, -1.348775335000000e-02, 1.207322936196267e+00, 0.000000000000000e+00, -3.256660388365672e+01, -1.416012031987617e+01, 2.526024780456017e+05, 1.000000000000000e-10, 1.448411645428081e+05, 0.000000000000000e+00, -2.697550670000000e+01, -1.172908363200000e+01
5, -2.521296116000000e-02, 6.341911768000000e-03, -1.326998478000000e-02, 1.208948078479134e+00, 0.000000000000000e+00, -3.208320342524514e+01, -1.533301271485709e+01, 2.525526487338752e+05, 1.000000000000000e-10, 1.442533630035479e+05, 0.000000000000000e+00, -2.653996956000000e+01, -1.268382353600000e+01
6, -2.521296116000000e-02, 6.909906270000000e-03, -1.298327911000000e-02, 1.207614219673453e+00, 0.000000000000000e+00, -3.135606430709936e+01, -1.668819283036649e+01, 2.521389463680111e+05, 1.000000000000000e-10, 1.442214584770582e+05, 0.000000000000000e+00, -2.596655822000000e+01, -1.381981254000000e+01
7, -2.521296116000000e-02, 7.523181064000000e-03, -1.263780391000000e-02, 1.205896872795240e+00, 0.000000000000000e+00, -3.047822731229011e+01, -1.814343886113585e+01, 2.517723976875653e+05, 1.000000000000000e-10, 1.444232868243085e+05, 0.000000000000000e+00, -2.527560782000000e+01, -1.504636212800000e+01
8, -2.521296116000000e-02, 8.119224162000000e-03, -1.226338208000000e-02, 1.204474225487328e+00, 0.000000000000000e+00, -2.954010314320473e+01, -1.955763243970296e+01, 2.515497218853840e+05, 1.000000000000000e-10, 1.447586181655008e+05, 0.000000000000000e+00, -2.452676416000000e+01, -1.623844832400000e+01
9, -2.521296116000000e-02, 8.642019872999999e-03, -1.190074929000000e-02, 1.203909297095706e+00, 0.000000000000000e+00, -2.865300478631196e+01, -2.080707951662698e+01, 2.512992739517094e+05, 1.000000000000000e-10, 1.449879287522849e+05, 0.000000000000000e+00, -2.380149858000000e+01, -1.728403974600000e+01
10, -2.521296116000000e-02, 9.061014648000000e-03, -1.158491927000000e-02, 1.203674896495156e+00, 0.000000000000000e+00, -2.788700943893912e+01, -2.181151159762391e+01, 2.509897818278761e+05, 1.000000000000000e-10, 1.451493978338996e+05, 0.000000000000000e+00, -2.316983854000000e+01, -1.812202929600000e+01
11, -2.521296116000000e-02, 9.373419342000000e-03, -1.133363803000000e-02, 1.203929163039817e+00, 0.000000000000000e+00, -2.728769757634200e+01, -2.256813139644011e+01, 2.504703016029019e+05, 1.000000000000000e-10, 1.450923784314002e+05, 0.000000000000000e+00, -2.266727606000000e+01, -1.874683868400000e+01
12, -2.521296116000000e-02, 9.594191102999999e-03, -1.114736911000000e-02, 1.203978219090031e+00, 0.000000000000000e+00, -2.684015673191839e+01, -2.310048141220086e+01, 2.498642208970117e+05, 1.000000000000000e-10, 1.449960759678093e+05, 0.000000000000000e+00, -2.229473822000000e+01, -1.918838220600000e+01
13, -2.521296116000000e-02, 9.744445175000000e-03, -1.101626658000000e-02, 1.201283643613096e+00, 0.000000000000000e+00, -2.646498940166204e+01, -2.340962216270657e+01, 2.493809843512197e+05, 1.000000000000000e-10, 1.454959098160665e+05, 0.000000000000000e+00, -2.203253316000000e+01, -1.948889035000000e+01
14, -2.521296116000000e-02, 9.844138484000000e-03, -1.092727224000000e-02, 1.195507257032747e+00, 0.000000000000000e+00, -2.612542320021690e+01, -2.353581738309849e+01, 2.490647587278757e+05, 1.000000000000000e-10, 1.466033422813165e+05, 0.000000000000000e+00, -2.185454448000000e+01, -1.968827696800000e+01
15, -2.521296116000000e-02, 9.943019060999999e-03, -1.083737574000000e-02, 1.193441008088499e+00, 0.000000000000000e+00, -2.586581903866408e+01, -2.373123696178256e+01, 2.492331947336372e+05, 1.000000000000000e-10, 1.469903498644111e+05, 0.000000000000000e+00, -2.167475148000000e+01, -1.988603812200000e+01
16, -2.521296116000000e-02, 1.008903818000000e-02, -1.070157229000000e-02, 1.194720922498086e+00, 0.000000000000000e+00, -2.556866608014360e+01, -2.410517270768628e+01, 2.494416752943124e+05, 1.000000000000000e-10, 1.466162074927019e+05, 0.000000000000000e+00, -2.140314458000000e+01, -2.017807636000000e+01
17, -2.521296116000000e-02, 1.029725889000000e-02, -1.050137136000000e-02, 1.195786217433410e+00, 0.000000000000000e+00, -2.511206401455744e+01, -2.462396724727871e+01, 2.494121464592983e+05, 1.000000000000000e-10, 1.461376397559292e+05, 0.000000000000000e+00, -2.100274272000000e+01, -2.059451778000000e+01
18, -2.521296116000000e-02, 1.057966990000000e-02, -1.021679626000000e-02, 1.198400297181325e+00, 0.000000000000000e+00, -2.448563048080655e+01, -2.535529545543777e+01, 2.491535534975962e+05, 1.000000000000000e-10, 1.452033890933217e+05, 0.000000000000000e+00, -2.043359252000000e+01, -2.115933980000000e+01
19, -2.521296116000000e-02, 1.093736580000000e-02, -9.832922775000001e-03, 1.198303536431908e+00, 0.000000000000000e+00, -2.356367991602029e+01, -2.621037434473568e+01, 2.481233583348399e+05, 1.000000000000000e-10, 1.445363141011886e+05, 0.000000000000000e+00, -1.966584555000000e+01, -2.187473160000000e+01
20, -2.521296116000000e-02, 1.135240679000000e-02, -9.350679182999999e-03, 1.191664379572258e+00, 0.000000000000000e+00, -2.228429152696236e+01, -2.705475586211511e+01, 2.473139844395149e+05, 1.000000000000000e-10, 1.454684779240015e+05, 0.000000000000000e+00, -1.870135836600000e+01, -2.270481358000000e+01
21, -2.521296116000000e-02, 1.178679118000000e-02, -8.796811618000000e-03, 1.187971969819409e+00, 0.000000000000000e+00, -2.089945653295290e+01, -2.800304708416715e+01, 2.471523766768483e+05, 1.000000000000000e-10, 1.461990025792615e+05, 0.000000000000000e+00, -1.759362323600000e+01, -2.357358236000000e+01
22, -2.521296116000000e-02, 1.219417817000000e-02, -8.222795133000000e-03, 1.185355445079741e+00, 0.000000000000000e+00, -1.949269611113551e+01, -2.890713018483426e+01, 2.471873307709702e+05, 1.000000000000000e-10, 1.469227858088383e+05, 0.000000000000000e+00, -1.644559026600000e+01, -2.438835634000000e+01
23, -2.521296116000000e-02, 1.253840486000000e-02, -7.687700859000000e-03, 1.184328210510451e+00, 0.000000000000000e+00, -1.820846206242986e+01, -2.969744445108308e+01, 2.475589844495670e+05, 1.000000000000000e-10, 1.475457935980454e+05, 0.000000000000000e+00, -1.537540171800000e+01, -2.507680972000000e+01
24, -2.521296116000000e-02, 1.280464265000000e-02, -7.235569617000000e-03, 1.188422687157383e+00, 0.000000000000000e+00, -1.719686248729879e+01, -3.043294315539320e+01, 2.482609834475566e+05, 1.000000000000000e-10, 1.472204063439051e+05, 0.000000000000000e+00, -1.447113923400000e+01, -2.560928530000000e+01
25, -2.521296116000000e-02, 1.299710578000000e-02, -6.883863914000000e-03, 1.192157185756359e+00, 0.000000000000000e+00, -1.641232099803092e+01, -3.098734588185281e+01, 2.484540183414116e+05, 1.000000000000000e-10, 1.467238876615727e+05, 0.000000000000000e+00, -1.376772782800000e+01, -2.599421156000000e+01
26, -2.521296116000000e-02, 1.312979026000000e-02, -6.627288181000000e-03, 1.193033624761297e+00, 0.000000000000000e+00, -1.581212894000707e+01, -3.132652917396485e+01, 2.484106344215257e+05, 1.000000000000000e-10, 1.467020895093631e+05, 0.000000000000000e+00, -1.325457636200000e+01, -2.625958052000000e+01
27, -2.521296116000000e-02, 1.321843616000000e-02, -6.448665489000000e-03, 1.188190657818665e+00, 0.000000000000000e+00, -1.532356736831265e+01, -3.141015724059679e+01, 2.483551530361791e+05, 1.000000000000000e-10, 1.478832558444671e+05, 0.000000000000000e+00, -1.289733097800000e+01, -2.643687232000000e+01
28, -2.521296116000000e-02, 1.327648411000000e-02, -6.328294462000000e-03, 1.181411575175914e+00, 0.000000000000000e+00, -1.495181609246313e+01, -3.136825411004856e+01, 2.487367035296038e+05, 1.000000000000000e-10, 1.441588143846671e+05, 0.000000000000000e+00, -1.265658892400000e+01, -2.655296822000000e+01
29, -2.521296116000000e-02, 5.068382427000000e-03, -1.411117372000000e-02, 1.197652801270906e+00, 3.120603564152294e+01, -8.954613015751731e-02, 3.894501876828816e-01, 2.481042195376812e+05, 6.803682432425521e+00, 8.986739339555457e+04, 0.000000000000000e+00, -2.822234744000000e+01, -1.013676485400000e+01
30, -2.521296116000000e-02, 5.196389585000000e-03, -1.406453908000000e-02, 1.197290626000435e+00, 3.342477372204059e+01, 7.918474075566837e-01, 8.221574955708388e-01, 2.479761493084415e+05, 6.913569167021588e+00, 9.001652005971974e+04, 0.000000000000000e+00, -2.812907816000000e+01, -1.039277917000000e+01
31, -2.521296116000000e-02, 5.386598833000000e-03, -1.399279376000000e-02, 1.197051258414206e+00, 3.484954573735081e+01, 1.277232741024463e+00, 1.025360010801992e+00, 2.478836832913674e+05, 7.039163105111244e+00, 8.968679487142756e+04, 0.000000000000000e+00, -2.798558752000000e+01, -1.077319766600000e+01
32, -2.521296116000000e-02, 5.660362235000000e-03, -1.388430854000000e-02, 1.196825514606112e+00, 3.513562611221041e+01, 1.202147939155170e+00, 1.087308445910528e+00, 2.477944920959638e+05, 7.146177771937061e+00, 8.944240848935892e+04, 0.000000000000000e+00, -2.776861708000000e+01, -1.132072447000000e+01
33, -2.521296116000000e-02, 6.036705093000000e-03, -1.372486488000000e-02, 1.196642913682232e+00, 3.446872626836796e+01, 6.611012778208281e-01, 9.956459232910243e-01, 2.477109813943429e+05, 7.109656691321283e+00, 8.858307176253833e+04, 0.000000000000000e+00, -2.744972976000000e+01, -1.207341018600000e+01
34, -2.521296116000000e-02, 6.522423146000000e-03, -1.350080444000000e-02, 1.196827802212078e+00, 3.324547125613322e+01, 6.181215487670159e-02, 6.776933158760458e-01, 2.477269532264283e+05, 6.906890148154367e+00, 8.711379365608565e+04, 0.000000000000000e+00, -2.700160888000000e+01, -1.304484629200000e+01
35, -2.521296116000000e-02, 7.100231723000000e-03, -1.320607564000000e-02, 1.196895346884282e+00, 3.200337304703083e+01, -3.992754995415533e-01, 3.901938915638022e-01, 2.477126654862884e+05, 6.674950404453675e+00, 8.543941775072733e+04, 0.000000000000000e+00, -2.641215128000000e+01, -1.420046344600000e+01
36, -2.521296116000000e-02, 7.723948305000000e-03, -1.285123912000000e-02, 1.197117789971208e+00, 3.090731178048122e+01, -7.194133765142341e-01, 9.812508490485786e-02, 2.477521970307580e+05, 6.496320090113791e+00, 8.399448279701325e+04, 0.000000000000000e+00, -2.570247824000000e+01, -1.544789661000000e+01
37, -2.521296116000000e-02, 8.329973338999999e-03, -1.246696709000000e-02, 1.197323591532755e+00, 3.013235444672936e+01, -9.305646202097356e-01, -1.018322214088539e-01, 2.477977924837247e+05, 6.388434680657884e+00, 8.305479321249992e+04, 0.000000000000000e+00, -2.493393418000000e+01, -1.665994667800000e+01
38, -2.521296116000000e-02, 8.861376928000000e-03, -1.209502886000000e-02, 1.197529114589573e+00, 2.982726204944766e+01, -9.951141769142496e-01, -2.203421095397331e-01, 2.478524013648778e+05, 6.371536047750690e+00, 8.295847710508513e+04, 0.000000000000000e+00, -2.419005772000000e+01, -1.772275385600000e+01
39, -2.521296116000000e-02, 9.287161976000000e-03, -1.177125086000000e-02, 1.197774900822530e+00, 2.996794382316985e+01, -9.729175197583224e-01, -1.997705782967858e-01, 2.479261197983787e+05, 6.430880426972079e+00, 8.351174119313229e+04, 0.000000000000000e+00, -2.354250172000000e+01, -1.857432395200000e+01
