"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Turb_Kin_Energy","Omega","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.521296116000000e-02, 4.913112014000000e-03, -1.386267187000000e-02, 1.178468937767970e+00, 0.000000000000000e+00, -3.267184523140116e+01, -1.157932878375383e+01, 2.487406670982760e+05, 1.000000000000000e-10, 1.448002156557403e+05, 0.000000000000000e+00, -2.772534374000000e+01, -9.826224028000000e+00
1, -2.521296116000000e-02, 5.038867655000000e-03, -1.381745830000000e-02, 1.175119493775073e+00, 0.000000000000000e+00, -3.247337408835514e+01, -1.184219490950284e+01, 2.497230953234577e+05, 1.000000000000000e-10, 1.513136545265965e+05, 0.000000000000000e+00, -2.763491660000000e+01, -1.007773531000000e+01
2, -2.521296116000000e-02, 5.225741463000000e-03, -1.374787137000000e-02, 1.186078419002167e+00, 0.000000000000000e+00, -3.261094671897851e+01, -1.239583727768394e+01, 2.508306021413516e+05, 1.000000000000000e-10, 1.491599023487849e+05, 0.000000000000000e+00, -2.749574274000000e+01, -1.045148292600000e+01
3, -2.521296116000000e-02, 5.494725896000000e-03, -1.364259244000000e-02, 1.195802900074064e+00, 0.000000000000000e+00, -3.262664455940115e+01, -1.314079193881783e+01, 2.518481083597247e+05, 1.000000000000000e-10, 1.472408108790680e+05, 0.000000000000000e+00, -2.728518488000000e+01, -1.098945179200000e+01
4, -2.521296116000000e-02, 5.864541816000000e-03, -1.348775335000000e-02, 1.202284290736509e+00, 0.000000000000000e+00, -3.243034037284984e+01, -1.410087227193333e+01, 2.526069245581565e+05, 1.000000000000000e-10, 1.459231311204837e+05, 0.000000000000000e+00, -2.697550670000000e+01, -1.172908363200000e+01
5, -2.521296116000000e-02, 6.341911768000000e-03, -1.326998478000000e-02, 1.203654218229846e+00, 0.000000000000000e+00, -3.194330467703141e+01, -1.526615314174271e+01, 2.525551829254112e+05, 1.000000000000000e-10, 1.453835421451231e+05, 0.000000000000000e+00, -2.653996956000000e+01, -1.268382353600000e+01
6, -2.521296116000000e-02, 6.909906270000000e-03, -1.298327911000000e-02, 1.202248028876340e+00, 0.000000000000000e+00, -3.121641184864103e+01, -1.661386758555381e+01, 2.521504922257792e+05, 1.000000000000000e-10, 1.453722919371761e+05, 0.000000000000000e+00, -2.596655822000000e+01, -1.381981254000000e+01
7, -2.521296116000000e-02, 7.523181064000000e-03, -1.263780391000000e-02, 1.200531216091707e+00, 0.000000000000000e+00, -3.034273584091996e+01, -1.806278189897656e+01, 2.517798906131626e+05, 1.000000000000000e-10, 1.455754455928334e+05, 0.000000000000000e+00, -2.527560782000000e+01, -1.504636212800000e+01
8, -2.521296116000000e-02, 8.119224162000000e-03, -1.226338208000000e-02, 1.199165020864791e+00, 0.000000000000000e+00, -2.941020454718081e+01, -1.947163040432911e+01, 2.515561615046797e+05, 1.000000000000000e-10, 1.459021065422213e+05, 0.000000000000000e+00, -2.452676416000000e+01, -1.623844832400000e+01
9, -2.521296116000000e-02, 8.642019872999999e-03, -1.190074929000000e-02, 1.198854846078055e+00, 0.000000000000000e+00, -2.853293613153976e+01, -2.071988872927566e+01, 2.513040355099900e+05, 1.000000000000000e-10, 1.460779293314942e+05, 0.000000000000000e+00, -2.380149858000000e+01, -1.728403974600000e+01
