"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Turb_Kin_Energy","Omega","Grid_Velocity_x","Grid_Velocity_y","Grid_Velocity_z"
0, -2.521296116000000e-02, 4.913112014000000e-03, -1.386267187000000e-02, 1.181415601874750e+00, 0.000000000000000e+00, -3.275334818332242e+01, -1.160821449469113e+01, 2.487379753728674e+05, 1.000000000000000e-10, 1.441585135977686e+05, 0.000000000000000e+00, -2.772534374000000e+01, -9.826224028000000e+00
1, -2.521296116000000e-02, 5.038867655000000e-03, -1.381745830000000e-02, 1.178698392662587e+00, 0.000000000000000e+00, -3.257201504661448e+01, -1.187816670136497e+01, 2.497272609021940e+05, 1.000000000000000e-10, 1.505015862374569e+05, 0.000000000000000e+00, -2.763491660000000e+01, -1.007773531000000e+01
2, -2.521296116000000e-02, 5.225741463000000e-03, -1.374787137000000e-02, 1.190349700095706e+00, 0.000000000000000e+00, -3.272828251068937e+01, -1.244043811044816e+01, 2.508344358819095e+05, 1.000000000000000e-10, 1.482130184929130e+05, 0.000000000000000e+00, -2.749574274000000e+01, -1.045148292600000e+01
3, -2.521296116000000e-02, 5.494725896000000e-03, -1.364259244000000e-02, 1.200570943122138e+00, 0.000000000000000e+00, -3.275606805132259e+01, -1.319291887992078e+01, 2.518507834600849e+05, 1.000000000000000e-10, 1.462052287540997e+05, 0.000000000000000e+00, -2.728518488000000e+01, -1.098945179200000e+01
4, -2.521296116000000e-02, 5.864541816000000e-03, -1.348775335000000e-02, 1.207329946535330e+00, 0.000000000000000e+00, -3.256675075381727e+01, -1.416018417974784e+01, 2.526053838290963e+05, 1.000000000000000e-10, 1.448409649935176e+05, 0.000000000000000e+00, -2.697550670000000e+01, -1.172908363200000e+01
5, -2.521296116000000e-02, 6.341911768000000e-03, -1.326998478000000e-02, 1.208961783332136e+00, 0.000000000000000e+00, -3.208348673567055e+01, -1.533314811288133e+01, 2.525567080593749e+05, 1.000000000000000e-10, 1.442522598333362e+05, 0.000000000000000e+00, -2.653996956000000e+01, -1.268382353600000e+01
6, -2.521296116000000e-02, 6.909906270000000e-03, -1.298327911000000e-02, 1.207612769054057e+00, 0.000000000000000e+00, -3.135558299555285e+01, -1.668793666875702e+01, 2.521380626115106e+05, 1.000000000000000e-10, 1.442213800906104e+05, 0.000000000000000e+00, -2.596655822000000e+01, -1.381981254000000e+01
7, -2.521296116000000e-02, 7.523181064000000e-03, -1.263780391000000e-02, 1.205882806532373e+00, 0.000000000000000e+00, -3.047767354017341e+01, -1.814310920513455e+01, 2.517688725209070e+05, 1.000000000000000e-10, 1.444247122283480e+05, 0.000000000000000e+00, -2.527560782000000e+01, -1.504636212800000e+01
8, -2.521296116000000e-02, 8.119224162000000e-03, -1.226338208000000e-02, 1.204478307511113e+00, 0.000000000000000e+00, -2.954013771977311e+01, -1.955765533183073e+01, 2.515508392676923e+05, 1.000000000000000e-10, 1.447582470458021e+05, 0.000000000000000e+00, -2.452676416000000e+01, -1.623844832400000e+01
9, -2.521296116000000e-02, 8.642019872999999e-03, -1.190074929000000e-02, 1.203903626386916e+00, 0.000000000000000e+00, -2.865287823759315e+01, -2.080698762018280e+01, 2.512971948159048e+05, 1.000000000000000e-10, 1.449882100367667e+05, 0.000000000000000e+00, -2.380149858000000e+01, -1.728403974600000e+01
10, -2.521296116000000e-02, 9.061014648000000e-03, -1.158491927000000e-02, 1.203669386698548e+00, 0.000000000000000e+00, -2.788688351298405e+01, -2.181141310605078e+01, 2.509868961494722e+05, 1.000000000000000e-10, 1.451492814374932e+05, 0.000000000000000e+00, -2.316983854000000e+01, -1.812202929600000e+01
11, -2.521296116000000e-02, 9.373419342000000e-03, -1.133363803000000e-02, 1.203925611344011e+00, 0.000000000000000e+00, -2.728765954075746e+01, -2.256809993933137e+01, 2.504672930776300e+05, 1.000000000000000e-10, 1.450917830862260e+05, 0.000000000000000e+00, -2.266727606000000e+01, -1.874683868400000e+01
12, -2.521296116000000e-02, 9.594191102999999e-03, -1.114736911000000e-02, 1.203974159621071e+00, 0.000000000000000e+00, -2.684010241016071e+01, -2.310043465916711e+01, 2.498618082513889e+05, 1.000000000000000e-10, 1.449958550257058e+05, 0.000000000000000e+00, -2.229473822000000e+01, -1.918838220600000e+01
13, -2.521296116000000e-02, 9.744445175000000e-03, -1.101626658000000e-02, 1.201278679239376e+00, 0.000000000000000e+00, -2.646490026343612e+01, -2.340954331543566e+01, 2.493787942446321e+05, 1.000000000000000e-10, 1.454959842273058e+05, 0.000000000000000e+00, -2.203253316000000e+01, -1.948889035000000e+01
14, -2.521296116000000e-02, 9.844138484000000e-03, -1.092727224000000e-02, 1.195498521098997e+00, 0.000000000000000e+00, -2.612524364923297e+01, -2.353565562957832e+01, 2.490612402334260e+05, 1.000000000000000e-10, 1.466036359828683e+05, 0.000000000000000e+00, -2.185454448000000e+01, -1.968827696800000e+01
15, -2.521296116000000e-02, 9.943019060999999e-03, -1.083737574000000e-02, 1.193435019402585e+00, 0.000000000000000e+00, -2.586571783979010e+01, -2.373114411436663e+01, 2.492315264858595e+05, 1.000000000000000e-10, 1.469908955618420e+05, 0.000000000000000e+00, -2.167475148000000e+01, -1.988603812200000e+01
16, -2.521296116000000e-02, 1.008903818000000e-02, -1.070157229000000e-02, 1.194715750176617e+00, 0.000000000000000e+00, -2.556863546187952e+01, -2.410514384194328e+01, 2.494415118492067e+05, 1.000000000000000e-10, 1.466172593783157e+05, 0.000000000000000e+00, -2.140314458000000e+01, -2.017807636000000e+01
17, -2.521296116000000e-02, 1.029725889000000e-02, -1.050137136000000e-02, 1.195782117675008e+00, 0.000000000000000e+00, -2.511206546787567e+01, -2.462396867234916e+01, 2.494112013441592e+05, 1.000000000000000e-10, 1.461380981559599e+05, 0.000000000000000e+00, -2.100274272000000e+01, -2.059451778000000e+01
18, -2.521296116000000e-02, 1.057966990000000e-02, -1.021679626000000e-02, 1.198394984974614e+00, 0.000000000000000e+00, -2.448547385565682e+01, -2.535513326737606e+01, 2.491518931328070e+05, 1.000000000000000e-10, 1.452037816159884e+05, 0.000000000000000e+00, -2.043359252000000e+01, -2.115933980000000e+01
19, -2.521296116000000e-02, 1.093736580000000e-02, -9.832922775000001e-03, 1.198321704893562e+00, 0.000000000000000e+00, -2.356411592258589e+01, -2.621085932396397e+01, 2.481287548704518e+05, 1.000000000000000e-10, 1.445348626232754e+05, 0.000000000000000e+00, -1.966584555000000e+01, -2.187473160000000e+01
20, -2.521296116000000e-02, 1.135240679000000e-02, -9.350679182999999e-03, 1.191669785934367e+00, 0.000000000000000e+00, -2.228441987341322e+01, -2.705491168407111e+01, 2.473156518294580e+05, 1.000000000000000e-10, 1.454680670571989e+05, 0.000000000000000e+00, -1.870135836600000e+01, -2.270481358000000e+01
21, -2.521296116000000e-02, 1.178679118000000e-02, -8.796811618000000e-03, 1.187974717890181e+00, 0.000000000000000e+00, -2.089950123110426e+01, -2.800310697493202e+01, 2.471534124283991e+05, 1.000000000000000e-10, 1.461988779711708e+05, 0.000000000000000e+00, -1.759362323600000e+01, -2.357358236000000e+01
22, -2.521296116000000e-02, 1.219417817000000e-02, -8.222795133000000e-03, 1.185358818328154e+00, 0.000000000000000e+00, -1.949274793399147e+01, -2.890720703669894e+01, 2.471881785634209e+05, 1.000000000000000e-10, 1.469224344875144e+05, 0.000000000000000e+00, -1.644559026600000e+01, -2.438835634000000e+01
23, -2.521296116000000e-02, 1.253840486000000e-02, -7.687700859000000e-03, 1.184331410088444e+00, 0.000000000000000e+00, -1.820851402948616e+01, -2.969752920776174e+01, 2.475599399665697e+05, 1.000000000000000e-10, 1.475455276697292e+05, 0.000000000000000e+00, -1.537540171800000e+01, -2.507680972000000e+01
24, -2.521296116000000e-02, 1.280464265000000e-02, -7.235569617000000e-03, 1.188424294553496e+00, 0.000000000000000e+00, -1.719689410184741e+01, -3.043299910302677e+01, 2.482615769067069e+05, 1.000000000000000e-10, 1.472203257188124e+05, 0.000000000000000e+00, -1.447113923400000e+01, -2.560928530000000e+01
25, -2.521296116000000e-02, 1.299710578000000e-02, -6.883863914000000e-03, 1.192158611374357e+00, 0.000000000000000e+00, -1.641235106338686e+01, -3.098740264686391e+01, 2.484545113252208e+05, 1.000000000000000e-10, 1.467238018366204e+05, 0.000000000000000e+00, -1.376772782800000e+01, -2.599421156000000e+01
26, -2.521296116000000e-02, 1.312979026000000e-02, -6.627288181000000e-03, 1.193037088808536e+00, 0.000000000000000e+00, -1.581218278668702e+01, -3.132663585343836e+01, 2.484113518848719e+05, 1.000000000000000e-10, 1.467016615632495e+05, 0.000000000000000e+00, -1.325457636200000e+01, -2.625958052000000e+01
27, -2.521296116000000e-02, 1.321843616000000e-02, -6.448665489000000e-03, 1.188196229967320e+00, 0.000000000000000e+00, -1.532364437515475e+01, -3.141031508876365e+01, 2.483561099739011e+05, 1.000000000000000e-10, 1.478824660700277e+05, 0.000000000000000e+00, -1.289733097800000e+01, -2.643687232000000e+01
28, -2.521296116000000e-02, 1.327648411000000e-02, -6.328294462000000e-03, 1.181415601874750e+00, 0.000000000000000e+00, -1.495186742032730e+01, -3.136836179365545e+01, 2.487379753728674e+05, 1.000000000000000e-10, 1.441585135977686e+05, 0.000000000000000e+00, -1.265658892400000e+01, -2.655296822000000e+01
29, -2.521296116000000e-02, 5.068382427000000e-03, -1.411117372000000e-02, 1.197655810311024e+00, 3.119651706790529e+01, -8.874171866251912e-02, 3.897246009389643e-01, 2.481049003324227e+05, 6.803933162607897e+00, 8.986459481100581e+04, 0.000000000000000e+00, -2.822234744000000e+01, -1.013676485400000e+01
30, -2.521296116000000e-02, 5.196389585000000e-03, -1.406453908000000e-02, 1.197294567349617e+00, 3.341580219718848e+01, 7.929247447893900e-01, 8.230291376631574e-01, 2.479770755006912e+05, 6.913799180504334e+00, 9.001454985074469e+04, 0.000000000000000e+00, -2.812907816000000e+01, -1.039277917000000e+01
31, -2.521296116000000e-02, 5.386598833000000e-03, -1.399279376000000e-02, 1.197055776985830e+00, 3.484024701163236e+01, 1.277876277210491e+00, 1.026917414155276e+00, 2.478847140985459e+05, 7.039253914588627e+00, 8.968524788273254e+04, 0.000000000000000e+00, -2.798558752000000e+01, -1.077319766600000e+01
32, -2.521296116000000e-02, 5.660362235000000e-03, -1.388430854000000e-02, 1.196825597639519e+00, 3.512504173178075e+01, 1.203355815751711e+00, 1.086283459442474e+00, 2.477941673596610e+05, 7.145996230368388e+00, 8.944206147183571e+04, 0.000000000000000e+00, -2.776861708000000e+01, -1.132072447000000e+01
