"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Turb_Kin_Energy","Omega"
0, -2.521296116000000e-02, 4.913112014000000e-03, -1.386267187000000e-02, 1.179371798058835e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.449523833728536e+05, 1.000000000000000e-10, 1.431217256065945e+05
1, -2.521296116000000e-02, 5.038867655000000e-03, -1.381745830000000e-02, 1.179846905404051e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.450554562709246e+05, 1.000000000000000e-10, 1.482951894361921e+05
2, -2.521296116000000e-02, 5.225741463000000e-03, -1.374787137000000e-02, 1.180223274791236e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.451287169964006e+05, 1.000000000000000e-10, 1.480539536704840e+05
3, -2.521296116000000e-02, 5.494725896000000e-03, -1.364259244000000e-02, 1.180437337114472e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.451577673492277e+05, 1.000000000000000e-10, 1.477841934762253e+05
4, -2.521296116000000e-02, 5.864541816000000e-03, -1.348775335000000e-02, 1.180416309319757e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.451300889094997e+05, 1.000000000000000e-10, 1.475212372517535e+05
5, -2.521296116000000e-02, 6.341911768000000e-03, -1.326998478000000e-02, 1.180230650214161e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.450592055893804e+05, 1.000000000000000e-10, 1.473047951438187e+05
6, -2.521296116000000e-02, 6.909906270000000e-03, -1.298327911000000e-02, 1.179932622150797e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.449562189058058e+05, 1.000000000000000e-10, 1.471889645541730e+05
7, -2.521296116000000e-02, 7.523181064000000e-03, -1.263780391000000e-02, 1.179574391382523e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.448478461225501e+05, 1.000000000000000e-10, 1.472177913837948e+05
8, -2.521296116000000e-02, 8.119224162000000e-03, -1.226338208000000e-02, 1.179435747370479e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.448122640380441e+05, 1.000000000000000e-10, 1.473658143806513e+05
9, -2.521296116000000e-02, 8.642019872999999e-03, -1.190074929000000e-02, 1.179621892737884e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.448821229755150e+05, 1.000000000000000e-10, 1.475817695656406e+05
