"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,  "Avg_Massflow"  ,  "Avg_Massflow"  ,    "Avg_Mach"    ,    "Avg_Temp"    ,    "Avg_Press"   ,    "Avg_Press"   ,   "Avg_Density"  ,  "Avg_Enthalpy"  ,  "Avg_NormalVel" ,   "Uniformity"   ,"Secondary_Strength","Momentum_Distortion","Secondary_Over_Uniformity",  "Avg_TotalTemp" ,  "Avg_TotalTemp" , "Avg_TotalPress" , "Avg_TotalPress" ,  "Pressure_Drop" ,"Avg_Massflow(INLET)","Avg_Massflow(OUTLET)","Avg_Press(INLET)","Avg_Press(OUTLET)","Avg_TotalTemp(INLET)","Avg_TotalTemp(OUTLET)","Avg_TotalPress(INLET)","Avg_TotalPress(OUTLET)"
          0,           0,           0,      -4.989260872,      -3.180815358,      -3.598712933,      -3.382492446,      0.4723698722,  -0.0009898940426,  -0.0009898940426,      0.3641792397,       570.1155396,       189659.9072,       189659.9072,       2.317582984,       576822.1011,      -20.48789044,       113.4714619,         37.52845232,     -2.068276005e-05,               0.5608104357,       574.1220053,       574.1220053,        194351.519,        194351.519,      -3578.357506,        0.03313433496,          -0.034124229,       96619.13236,        93040.77485,           288.3821995,            285.7398057,            97891.20554,             96460.31349
          0,           0,           1,      -5.098184729,      -2.887883417,      -3.002027009,      -3.110970038,       0.363559198,   -0.001900350932,   -0.001900350932,      0.3754073009,       568.8824894,       188440.1219,       188440.1219,       2.307443422,       575846.9018,      -23.38316808,       117.4884401,         37.54393589,     -7.203425268e-05,               0.5336991557,       573.1513709,       573.1513709,       193405.0819,       193405.0819,      -5264.794199,        0.03359708596,        -0.03549743689,       96852.45804,        91587.66384,           288.5627938,            284.5885772,            98158.06498,             95247.01691
          0,           0,           2,      -5.181248411,      -2.799286223,       -2.88493973,       -3.02536522,      0.2797506661,    -0.00267943016,    -0.00267943016,      0.3848873123,       568.1732835,        187725.806,        187725.806,       2.301381895,       575366.2647,      -25.75423341,       120.8891125,         37.57011797,     -0.0001162376137,               0.5133051161,       572.6729837,       572.6729837,       192936.9951,       192936.9951,      -6344.980094,        0.03401616723,        -0.03669559739,       97035.39304,        90690.41295,            288.694115,            283.9788687,            98371.95331,              94565.0418
          0,           0,           3,      -5.240983893,      -2.792941669,      -2.873615175,      -3.017230873,      0.2198296543,   -0.003274736776,   -0.003274736776,      0.3925244297,       567.7425111,        187285.833,        187285.833,       2.297590178,        575125.237,      -27.57730011,       123.6267736,         37.59868432,     -0.0001366967498,               0.4984689145,       572.4330842,       572.4330842,       192703.0148,       192703.0148,      -7074.600317,        0.03438570151,        -0.03766043829,       97180.21666,        90105.61635,           288.7878803,            283.6452039,            98544.45772,             94158.55706
          0,           0,           4,       -5.25084872,      -2.830819354,       -2.91181088,      -3.050183341,       0.210004409,   -0.003682526316,   -0.003682526316,      0.3983614156,       567.4936977,       187030.2485,       187030.2485,       2.295362131,       575024.0221,      -28.87582233,       125.7184805,         37.62408293,      -0.000132080851,               0.4881048029,       572.3323431,       572.3323431,       192608.7778,       192608.7778,      -7560.429223,        0.03470497217,        -0.03838749848,       97295.33884,        89734.90962,            288.852616,            283.4797271,            98683.74692,             93925.03086
          0,           0,           5,      -5.244715963,      -2.871871571,      -2.951925888,      -3.081684359,      0.2162038689,   -0.003952388968,   -0.003952388968,      0.4027932815,       567.3360723,       186874.9091,       186874.9091,       2.294022623,       574979.4313,      -29.79025257,       127.3039901,         37.64468324,     -0.0001193583093,               0.4807884465,        572.287961,        572.287961,       192577.6239,       192577.6239,      -7897.405465,        0.03497489799,        -0.03892728696,       97386.15727,        89488.75181,           288.8938696,            283.3940914,            98795.15375,             93782.47011
          0,           0,           6,      -5.251412339,      -2.885898241,      -2.962569153,      -3.092350898,      0.2096010356,   -0.004122338677,   -0.004122338677,      0.4061186145,       567.2394055,       186788.2051,       186788.2051,       2.293300992,       574967.8598,      -30.41822867,       128.4924986,         37.65972922,     -0.0001066238215,               0.4756141008,       572.2764437,       572.2764437,       192585.0217,       192585.0217,      -8127.598481,        0.03520066315,        -0.03932300182,       97457.90181,        89330.30333,           288.9170869,            283.3593568,            98884.21445,             93700.80726
          0,           0,           7,       -5.26561363,      -2.880493295,      -2.954743218,      -3.088478203,      0.1953728899,   -0.004218387048,   -0.004218387048,      0.4085257425,       567.1952096,       186759.5299,       186759.5299,       2.293099624,       574985.2681,      -30.82118775,       129.3544233,         37.66902627,     -9.618834447e-05,               0.4720528572,       572.2937705,       572.2937705,       192625.3033,       192625.3033,        -8268.2758,        0.03538610038,        -0.03960448742,       97513.90287,        89245.62707,           288.9255546,            283.3682159,            98954.49223,             93670.81103
          0,           0,           8,      -5.275921905,       -2.87958597,      -2.952833816,      -3.089518366,      0.1849373328,   -0.004266260891,   -0.004266260891,      0.4102812927,       567.1747064,       186760.2885,       186760.2885,       2.293176042,       575009.4779,      -31.07485179,       129.9832722,         37.67342357,     -9.269673968e-05,                0.469554818,        572.317867,        572.317867,       192676.7156,       192676.7156,      -8355.083571,        0.03553838025,        -0.03980464114,       97557.68606,        89202.60249,           288.9226903,            283.3951767,            99010.03059,             93666.68498
          0,           0,           9,      -5.279803484,      -2.885888977,      -2.957257731,      -3.095639348,      0.1810029655,   -0.004279795768,   -0.004279795768,      0.4115113764,       567.1717066,       186781.7723,       186781.7723,       2.293446029,       575037.5116,      -31.21595671,       130.4245089,         37.67443029,      -9.61623645e-05,               0.4678758474,       572.3457695,       572.3457695,       192733.9732,       192733.9732,      -8399.756841,        0.03566092106,        -0.03994071682,       97590.76456,        89191.00772,           288.9100427,            283.4357268,            99052.58295,              93681.3903
